score,computational_cost,nb_calls
126,2763.3,496531
158,4783.01,779304
519,6821.75,1.87206e+06
201,4712.05,813653
184,5343.93,846072
329,3102.21,898554
271,6098.67,1.09668e+06
352,6560.65,1.69628e+06
191,5283.57,1.01008e+06
310,5322.92,1.17684e+06
314,6534.97,1.45045e+06
225,6220.43,1.01142e+06
522,8853.43,1.95926e+06
206,4663.47,815469
473,8217.87,1.8855e+06
199,4406.83,842119
584,10394.8,2.64431e+06
157,3559.4,597415
187,2554.32,597378
327,5549,1.40098e+06
547,9743.33,2.40642e+06
255,3424.39,815114
526,17415.1,2.56215e+06
512,9725.58,2.12654e+06
536,13612.2,2.55818e+06
208,4888.11,796030
177,4597.58,859810
239,6609.64,1.15593e+06
256,5228.17,1.12541e+06
152,3203.96,565300
326,6858.44,1.35495e+06
99,2964.07,496521
853,15313.6,4.0908e+06
279,4684.88,1.03958e+06
185,2260.52,561126
263,5784.62,1.02657e+06
386,8943.04,2.25823e+06
136,3526.12,659252
309,6097.39,1.24274e+06
295,6284.2,1.44892e+06
430,6585,1.56687e+06
298,4654.86,1.33208e+06
181,3256.61,728258
145,3054.55,611158
388,8584.52,2.0902e+06
154,2867.6,662484
184,4221.12,745214
229,6084.22,1.00103e+06
150,3980.14,762139
496,7675.54,2.02151e+06
212,3950.93,840513
360,6217.15,1.25844e+06
170,5221.54,847930
116,2671.06,546880
284,3436.39,925302
239,5986.3,1.33582e+06
489,10436.7,2.56042e+06
114,3301.85,530820
315,6023.14,1.20459e+06
112,1428.27,315399
203,6185.19,958494
574,8997.33,2.44716e+06
234,6431.84,1.20483e+06
101,2739.78,498134
179,3358.68,775574
275,3947.84,1.00522e+06
170,4572.3,799159
401,9271.35,1.81562e+06
484,8350.16,2.08786e+06
367,8449.56,1.55391e+06
437,9678.44,2.03059e+06
99,2130.96,380193
375,6073.28,1.7225e+06
348,5459.71,1.26543e+06
246,4117.83,987498
215,3046.45,696570
644,15490,2.85852e+06
555,14632.8,3.24402e+06
366,5527.28,1.33596e+06
428,7076.31,1.7786e+06
434,6503.17,1.56209e+06
470,9242.26,2.00826e+06
182,3117.35,716129
848,17608.5,4.74672e+06
252,5807.07,1.10895e+06
481,10352.8,2.19125e+06
420,7457.19,1.7126e+06
175,5154.73,831659
299,4228.91,1.15217e+06
145,4036.2,679460
258,4459.86,1.16864e+06
200,5061.42,902396
267,5686.83,990161
198,4316.56,827978
144,3528.9,733715
237,4623.41,1.03706e+06
505,10829.1,2.14376e+06
685,10409.3,2.65017e+06
300,7114.09,1.37486e+06
568,8372.81,2.25123e+06
