,score,computational_cost,nb_calls
0,297,11491.72,2240270.0
1,121,7197.3,990108.0
2,614,18231.8,4837780.0
3,88,4792.4400000000005,627657.0
4,469,18637.0,3830840.0
5,300,10976.72,2335870.0
6,321,10922.34,2565270.0
7,1000,32927.9,8466260.0
8,385,12342.8,2846570.0
9,503,20686.0,3811460.0
10,226,10325.439999999999,1819080.0
11,97,5576.42,779988.0
12,300,9379.43,2347810.0
13,544,20169.4,4263960.0
14,619,20008.3,4691280.0
15,468,18595.3,3906640.0
16,392,12143.74,3040000.0
17,308,11804.74,2466610.0
18,93,5968.3,807410.0
19,1000,29425.3,7768000.0
20,181,9104.619999999999,1518820.0
21,484,19450.2,3788600.0
22,237,11619.36,1961700.0
23,426,16838.8,3380630.0
24,394,17543.8,3247840.0
25,270,10299.07,2204970.0
26,256,9194.2,1925320.0
27,451,12367.1,3356760.0
28,187,7543.7,1467200.0
29,232,8923.76,1716800.0
30,340,12297.4,2772820.0
31,317,15517.3,2787560.0
32,215,10804.26,1784520.0
33,789,25729.4,6336710.0
34,753,19564.7,5662980.0
35,386,14113.8,3031430.0
36,365,11357.36,2830010.0
37,112,6575.63,909399.0
38,476,17136.9,3765680.0
39,628,19284.5,4862600.0
40,628,17800.8,4814640.0
41,302,12658.4,2356950.0
42,515,18622.3,3917770.0
43,568,18428.3,4290210.0
44,379,15749.6,2971740.0
45,137,7449.27,1172150.0
46,108,5988.55,875607.0
47,223,9224.05,1831670.0
48,153,8281.720000000001,1241060.0
49,210,9974.9,1880810.0
50,200,7678.49,1564210.0
51,175,7515.87,1452660.0
52,1000,21327.4,7305890.0
53,289,12116.04,2275720.0
54,448,15400.2,3763540.0
55,106,6282.52,874527.0
56,269,7905.72,2020630.0
57,187,6888.02,1399910.0
58,770,25143.2,5954800.0
59,372,15956.1,3064000.0
60,146,5947.52,1057340.0
61,466,15048.4,3854400.0
62,151,8385.08,1287560.0
63,385,11434.79,2908370.0
64,387,18851.3,3276550.0
65,168,7235.72,1268630.0
66,221,11297.33,1914680.0
67,199,8655.1,1617210.0
68,686,19546.1,5399800.0
69,252,11735.75,2095050.0
70,207,6919.67,1548810.0
71,437,10597.18,3238880.0
72,769,19703.8,5679810.0
73,281,10836.22,2138420.0
74,1000,31109.8,7514870.0
75,1000,24890.2,7583700.0
76,1000,32320.8,7746400.0
77,296,13691.7,2325500.0
78,543,20806.7,4426250.0
79,289,10258.54,2319540.0
80,157,7681.98,1206420.0
81,400,14011.3,3013300.0
82,244,10616.02,1934140.0
83,621,24402.4,5016320.0
84,878,22535.9,6749740.0
85,430,15344.0,3208970.0
86,207,10114.66,1732230.0
87,149,6390.2,1089540.0
88,291,12810.1,2478090.0
89,277,13373.7,2310460.0
90,681,16953.1,5116040.0
91,252,8806.01,2019140.0
92,429,13964.8,3312240.0
93,556,15608.7,4294730.0
94,522,16140.5,4079840.0
95,686,23515.8,5421360.0
96,433,14905.0,3389770.0
97,1000,28474.3,7834950.0
98,616,17568.1,4637700.0
99,352,13504.6,2787720.0
