,score,computational_cost,nb_calls
0,519,14044.5,3442590.0
1,637,20500.8,4417720.0
2,295,10566.66,2030990.0
3,750,20647.7,5163260.0
4,277,7115.03,1685510.0
5,912,24936.6,6544080.0
6,719,20260.8,5202070.0
7,195,6146.51,1237180.0
8,693,14596.1,4443880.0
9,450,12914.9,2827460.0
10,341,14326.7,2647560.0
11,576,18483.0,3745040.0
12,443,11696.08,2801220.0
13,769,18552.7,5546950.0
14,630,15723.2,4236290.0
15,425,13634.5,2852190.0
16,525,12919.5,3497140.0
17,173,5821.68,1091780.0
18,191,8660.939999999999,1369970.0
19,346,12493.5,2360610.0
20,788,19708.2,6186120.0
21,451,11284.94,2807120.0
22,105,5667.82,712200.0
23,215,8997.16,1502280.0
24,269,10022.04,1911200.0
25,699,15419.6,4444310.0
26,220,6955.27,1300240.0
27,294,11847.69,2179760.0
28,234,7958.27,1550480.0
29,350,11361.63,2305430.0
30,238,9479.65,1696640.0
31,539,13768.2,3405510.0
32,243,6353.23,1407050.0
33,450,11059.25,2776880.0
34,300,7227.75,1675520.0
35,265,8621.49,1695840.0
36,209,6075.110000000001,1261640.0
37,349,9518.76,2181460.0
38,265,9744.23,1664650.0
39,1000,21638.3,6751770.0
40,550,11376.98,3167980.0
41,187,8082.38,1256760.0
42,221,7419.09,1401040.0
43,511,17343.9,3556990.0
44,653,15543.4,4142840.0
45,746,19403.2,4722960.0
46,250,8671.79,1542960.0
47,513,13165.5,3161070.0
48,130,6468.62,958177.0
49,188,8369.35,1289310.0
50,1000,27869.7,6905820.0
51,560,16639.1,3818760.0
52,492,12863.8,3222560.0
53,414,11175.77,2564570.0
54,746,20276.2,4857730.0
55,240,9243.279999999999,1568440.0
56,237,8066.88,1502690.0
57,345,8677.21,2158080.0
58,352,14001.7,2484620.0
59,735,17122.4,4628590.0
60,364,10049.98,2599390.0
61,379,11775.29,2442800.0
62,400,13028.8,2735260.0
63,1000,28496.2,6915980.0
64,357,9849.32,2498220.0
65,1000,20668.8,7213880.0
66,222,8746.36,1435580.0
67,274,11508.7,2027500.0
68,363,11746.68,2499420.0
69,273,9960.52,1882100.0
70,354,9367.25,2055370.0
71,765,14601.0,4914470.0
72,342,9848.189999999999,2167800.0
73,217,9637.05,1583540.0
74,522,10936.75,3170460.0
75,485,16929.9,3233720.0
76,339,12024.88,2260020.0
77,315,7793.06,2009030.0
78,302,6391.32,1596940.0
79,154,6866.01,1025160.0
80,689,15947.6,4252200.0
81,250,10656.77,1719920.0
82,185,7911.78,1304650.0
83,532,10770.67,3293960.0
84,356,14260.7,2561500.0
85,204,8207.529999999999,1418640.0
86,426,14828.5,3031820.0
87,118,5972.780000000001,795176.0
88,174,7724.01,1353330.0
89,377,14151.7,2542890.0
90,711,17282.0,4386390.0
91,110,5862.51,809362.0
92,852,23067.2,5418790.0
93,271,8566.810000000001,1760550.0
94,280,10571.22,1880210.0
95,422,9644.689999999999,2685140.0
96,189,6871.0,1251120.0
97,409,10216.470000000001,2485720.0
98,197,7730.54,1293300.0
99,319,9298.279999999999,2022770.0
