,score,computational_cost,nb_calls
0,208,9989.36,1814600.0
1,654,23133.1,5239910.0
2,376,10564.93,2943350.0
3,453,17394.8,3835420.0
4,330,15186.6,2719960.0
5,379,15668.1,3153640.0
6,822,27420.8,7199050.0
7,1000,35345.9,8797270.0
8,859,26756.1,7144340.0
9,883,26714.9,7404890.0
10,534,17070.1,4314120.0
11,650,23478.9,5389610.0
12,136,7522.99,1154880.0
13,441,20405.3,3811540.0
14,201,10551.39,1829130.0
15,760,27491.1,6551770.0
16,436,13324.4,3526500.0
17,454,15833.5,3860470.0
18,354,15116.5,2984890.0
19,908,30317.7,7300480.0
20,537,24684.5,4570140.0
21,439,13092.2,3703840.0
22,1000,33737.4,8455900.0
23,335,13769.6,2915330.0
24,701,24382.4,5750430.0
25,567,17167.3,4630660.0
26,634,20032.7,5352360.0
27,689,30122.2,6283890.0
28,1000,31444.8,8376360.0
29,311,9544.09,2475360.0
30,396,15742.5,3327690.0
31,285,10128.6,2293710.0
32,396,13416.4,3228790.0
33,347,13892.0,3001230.0
34,402,17020.7,3691970.0
35,1000,23705.2,7937660.0
36,412,16221.2,3569390.0
37,771,23746.2,6461510.0
38,437,17059.7,3689950.0
39,157,8523.46,1352150.0
40,354,16052.9,2763980.0
41,654,27954.5,5670940.0
42,296,11050.45,2346790.0
43,284,12567.5,2357470.0
44,299,10745.73,2455070.0
45,498,16622.4,4139690.0
46,914,29866.2,7660990.0
47,302,15027.2,2684210.0
48,1000,26382.2,8128210.0
49,384,15885.8,3273120.0
50,422,17120.4,3522320.0
51,190,10021.41,1605480.0
52,393,13212.9,3059360.0
53,570,17057.7,4886060.0
54,492,17384.1,3923080.0
55,225,9386.2,1847710.0
56,392,18602.6,3368870.0
57,408,14935.7,3375740.0
58,347,14433.6,2950220.0
59,600,23194.1,5046390.0
60,788,27230.2,6745480.0
61,529,19556.4,4405220.0
62,544,20497.8,4516150.0
63,339,10819.53,2804520.0
64,314,13274.0,2588690.0
65,839,24718.6,6614840.0
66,189,9560.89,1632790.0
67,205,9172.91,1759270.0
68,308,12092.73,2556640.0
69,317,11534.99,2612470.0
70,422,15453.0,3712190.0
71,131,5921.46,988329.0
72,583,18833.5,4543220.0
73,800,25097.1,6805900.0
74,968,27388.4,7615150.0
75,1000,26371.8,8166120.0
76,836,28752.1,6933960.0
77,662,24471.2,5440660.0
78,173,9513.68,1566150.0
79,425,16202.1,3450440.0
80,845,28292.5,6630710.0
81,426,14814.9,3630070.0
82,1000,25421.9,8031330.0
83,493,18365.9,4178400.0
84,752,24892.1,6443710.0
85,1000,29401.3,8814310.0
86,1000,28512.1,8020880.0
87,523,20817.0,4285140.0
88,200,8647.36,1613620.0
89,321,9923.14,2618910.0
90,552,24340.0,4834360.0
91,764,32913.0,6541020.0
92,365,11436.18,2976550.0
93,1000,32939.0,8197020.0
94,362,13527.9,3024520.0
95,314,11500.11,2684140.0
96,437,17379.1,3667790.0
97,119,6750.18,1024090.0
98,494,16657.4,3878760.0
99,479,15114.0,3912500.0
