,score,computational_cost,nb_calls
0,1000,38620.1,8740650.0
1,872,26516.2,7410820.0
2,259,12872.0,2392570.0
3,942,36836.1,8589560.0
4,635,24088.4,5784380.0
5,1000,37428.9,9207110.0
6,424,18220.8,3785470.0
7,138,6529.23,1186990.0
8,235,12451.9,2097200.0
9,235,11344.0,2058390.0
10,325,13515.2,2965500.0
11,325,14113.3,2921460.0
12,243,11800.55,2274030.0
13,477,17908.3,4223110.0
14,207,8920.07,1726940.0
15,961,27581.0,8179300.0
16,875,25996.8,7547010.0
17,686,25320.7,6006840.0
18,422,15042.5,3821400.0
19,569,23754.7,5262490.0
20,521,17190.7,4542540.0
21,249,10470.55,2107340.0
22,339,17310.6,3174330.0
23,415,13433.4,3931470.0
24,507,16718.2,4225380.0
25,536,22084.1,4479840.0
26,918,27870.7,7974960.0
27,562,19235.3,4997270.0
28,1000,39393.6,8747670.0
29,725,22022.9,6148030.0
30,864,33654.0,7514450.0
31,354,14572.0,3121730.0
32,557,22176.6,4694220.0
33,615,25421.3,5603180.0
34,247,10368.26,2122650.0
35,632,20439.0,5535690.0
36,197,10949.04,1748860.0
37,581,20905.5,5015220.0
38,254,10579.06,2221670.0
39,442,20660.0,3953330.0
40,838,28024.0,7489800.0
41,518,21620.2,4694800.0
42,1000,28202.6,8646190.0
43,438,19352.5,3970040.0
44,772,23061.3,6615540.0
45,187,10599.22,1843110.0
46,639,24238.3,5476020.0
47,511,21491.6,4513340.0
48,627,23932.5,5642090.0
49,669,20113.0,5666240.0
50,354,16974.9,3157180.0
51,401,17938.3,3476010.0
52,623,23428.3,5477800.0
53,206,11113.75,1795650.0
54,419,12283.4,3392200.0
55,538,24838.8,4853010.0
56,333,14728.0,2949220.0
57,326,10245.560000000001,2868450.0
58,879,27354.1,7652740.0
59,557,25254.7,5229450.0
60,833,28305.3,7068210.0
61,1000,31396.3,8588310.0
62,302,16101.9,2965370.0
63,394,14456.5,3511460.0
64,205,9244.49,1713510.0
65,763,29802.5,6766960.0
66,1000,27880.8,8267940.0
67,1000,31484.9,8809050.0
68,668,19835.6,5941290.0
69,161,9287.1,1550050.0
70,586,21675.4,4952850.0
71,234,7574.72,1879000.0
72,401,14473.6,3347770.0
73,818,25753.8,7069630.0
74,346,13371.6,2922910.0
75,338,14833.0,3033640.0
76,314,13425.0,2788180.0
77,487,19385.9,4394700.0
78,370,12893.8,3106780.0
79,1000,34635.7,8771260.0
80,177,8924.1,1516100.0
81,296,11522.89,2670440.0
82,1000,38166.8,8740800.0
83,315,9639.810000000001,2414040.0
84,498,20765.5,4580280.0
85,254,12286.1,2324250.0
86,783,26031.3,6767110.0
87,191,8110.97,1659650.0
88,203,9373.779999999999,1697950.0
89,307,12697.6,2734060.0
90,1000,27941.2,8486970.0
91,319,16133.3,2951520.0
92,385,13564.1,3138780.0
93,819,26102.8,6908970.0
94,1000,25641.6,8707190.0
95,259,11521.08,2312740.0
96,208,11200.59,1960630.0
97,907,32803.7,8042080.0
98,1000,31039.9,8959070.0
99,405,15533.8,3533750.0
