,score,computational_cost,nb_calls
0,110,4095.84,431951.0
1,163,3779.87,516074.0
2,93,3693.63,351170.0
3,128,4458.82,514145.0
4,176,4830.610000000001,645958.0
5,84,3253.12,283294.0
6,138,4363.719999999999,563831.0
7,572,6754.32,1798560.0
8,264,5637.68,1042230.0
9,326,6499.76,1222850.0
10,448,6513.16,1547560.0
11,283,7239.23,1238720.0
12,197,5147.45,830325.0
13,299,7691.97,1680440.0
14,82,3243.27,282151.0
15,301,4867.62,1037560.0
16,133,5032.0,676778.0
17,209,5145.57,862135.0
18,179,5928.7,798215.0
19,435,7800.16,1874140.0
20,124,3818.4700000000003,415322.0
21,155,5345.719999999999,696229.0
22,427,6962.25,1592590.0
23,275,6198.37,1063070.0
24,454,7494.63,1844060.0
25,192,6153.08,895498.0
26,163,5946.76,797465.0
27,94,4144.9400000000005,483362.0
28,165,4746.9,791333.0
29,200,6145.7,977254.0
30,159,3967.33,484938.0
31,198,6225.99,1010790.0
32,225,5258.780000000001,892736.0
33,374,7400.39,1533710.0
34,328,6905.38,1275150.0
35,182,4165.9400000000005,587085.0
36,237,5167.93,940043.0
37,373,6932.45,1423410.0
38,169,4202.17,578255.0
39,116,3414.3,348566.0
40,58,3271.62,250059.0
41,331,9393.060000000001,1654080.0
42,103,3935.7799999999997,432235.0
43,555,11095.04,2471070.0
44,601,10340.02,2862820.0
45,174,3871.8900000000003,530005.0
46,271,4683.8099999999995,892572.0
47,146,5013.12,712206.0
48,218,5699.04,1277740.0
49,146,5024.13,679299.0
50,680,15283.0,3849450.0
51,343,7246.91,1289490.0
52,433,6836.47,1933880.0
53,470,7596.96,1940420.0
54,165,4221.02,562742.0
55,89,3497.3599999999997,317878.0
56,105,3430.08,316319.0
57,499,7104.27,1887390.0
58,172,6075.54,879398.0
59,273,5209.99,1039820.0
60,124,3652.0699999999997,431609.0
61,382,7050.37,1858180.0
62,198,4547.99,660626.0
63,987,15772.7,5079670.0
64,174,4745.030000000001,797588.0
65,84,3239.49,267521.0
66,195,7007.34,1079750.0
67,256,6328.92,1566440.0
68,134,4847.67,632560.0
69,299,5280.66,1019980.0
70,402,6142.139999999999,1259420.0
71,224,5981.07,960878.0
72,149,3515.96,433360.0
73,318,6774.65,1384350.0
74,363,7215.72,1727970.0
75,121,4630.0,564253.0
76,160,4997.59,663808.0
77,176,5837.4400000000005,891725.0
78,138,4493.65,516423.0
79,271,6647.59,1403340.0
80,53,2973.3810000000003,182165.0
81,388,8525.58,1458940.0
82,220,4785.79,892070.0
83,288,5178.84,1045740.0
84,153,4559.030000000001,546315.0
85,76,3292.27,266999.0
86,149,3429.2,415646.0
87,307,6559.56,1254080.0
88,271,6247.75,1030150.0
89,144,3945.3199999999997,478905.0
90,160,3614.31,469422.0
91,64,3155.805,233289.0
92,221,3784.85,630112.0
93,210,3942.2,647395.0
94,196,5576.76,843400.0
95,211,4732.969999999999,862865.0
96,229,7159.41,1093360.0
97,179,4955.1900000000005,726457.0
98,267,4772.05,861142.0
99,561,11935.46,2543080.0
