,score,computational_cost,nb_calls
0,445,15683.7,3366590.0
1,410,17264.5,3269100.0
2,397,13787.6,3103870.0
3,811,20202.7,5556720.0
4,434,14316.7,3300230.0
5,79,4622.139999999999,578594.0
6,184,6704.6,1475610.0
7,592,16888.8,4000780.0
8,152,7666.31,1270440.0
9,183,9175.43,1587050.0
10,245,10811.17,1883310.0
11,357,11825.64,2647300.0
12,203,8020.08,1435250.0
13,577,22562.8,4742680.0
14,366,15621.0,2789680.0
15,658,22034.7,5252660.0
16,773,22651.9,5428010.0
17,497,12956.2,3663680.0
18,840,27642.8,6565240.0
19,193,8693.27,1451050.0
20,427,16128.4,3177800.0
21,536,14101.4,3480840.0
22,253,7629.89,1630660.0
23,353,14786.7,2753680.0
24,199,10009.74,1586480.0
25,262,11065.29,2317870.0
26,839,22752.6,6048720.0
27,722,19652.7,5272060.0
28,123,5789.6900000000005,842990.0
29,369,13141.1,2509330.0
30,395,11537.37,2662540.0
31,412,13254.3,2894510.0
32,156,7795.36,1156380.0
33,97,5970.74,875694.0
34,808,22097.9,5558380.0
35,197,9703.619999999999,1583670.0
36,467,16557.9,3460300.0
37,381,13675.4,2669320.0
38,869,22476.8,6376490.0
39,193,6699.81,1492280.0
40,242,8991.93,1801680.0
41,158,5485.33,1056120.0
42,210,9259.32,1521520.0
43,694,20599.6,5050250.0
44,620,22143.4,4434050.0
45,588,18327.4,4619540.0
46,483,13943.7,3629560.0
47,379,12096.87,2712520.0
48,534,17466.6,4093460.0
49,258,11253.78,2026720.0
50,866,27164.3,6182110.0
51,395,13423.1,3004740.0
52,756,28285.6,5880900.0
53,1000,22910.1,6633720.0
54,271,9436.18,2008840.0
55,440,14951.8,3064980.0
56,139,7237.73,1074260.0
57,183,8375.25,1423850.0
58,648,15382.0,4771220.0
59,571,18425.7,4261960.0
60,768,28909.8,6137200.0
61,319,11186.55,2228500.0
62,261,7807.43,1768040.0
63,485,16898.8,3768760.0
64,111,5099.08,742512.0
65,182,6786.18,1202940.0
66,973,23556.4,6325900.0
67,436,16784.8,3313540.0
68,598,19994.3,4574420.0
69,334,13587.3,2489610.0
70,420,12723.7,2869950.0
71,244,8952.57,1747130.0
72,558,15978.9,4177370.0
73,141,5615.75,977728.0
74,394,16570.9,3368920.0
75,319,10450.99,2197770.0
76,253,9217.61,1794380.0
77,243,9555.130000000001,1734580.0
78,169,7653.71,1269600.0
79,822,20089.7,6059710.0
80,295,10653.67,2124240.0
81,306,11355.5,2325180.0
82,140,6197.51,1025020.0
83,853,24519.5,6187810.0
84,212,7205.81,1456810.0
85,155,5892.1,1075050.0
86,307,8835.73,2140130.0
87,323,9611.779999999999,2469250.0
88,180,8237.57,1302340.0
89,904,30942.1,6682390.0
90,420,16993.1,3315440.0
91,888,23250.2,6498060.0
92,250,11244.03,1898590.0
93,198,6559.24,1384230.0
94,316,7539.69,2025550.0
95,493,13716.0,3396550.0
96,121,6442.18,957079.0
97,479,21849.0,4039560.0
98,303,11717.8,2342830.0
99,165,8560.34,1335580.0
