x,y
2.5,2.5
2.5,2.3
2.5,2.1
2.5,1.9
2.5,1.7
2.5,1.5
2.5,1.3
2.5,1.1
2.5,0.9
2.5,0.7
2.5,0.5
2.5,0.3
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
2.5,0.1
