score,achieved_return,computational_cost,nb_calls
50,10.8647,182.618,25337
50,13.4924,184.587,25744
50,12.3414,181.44,25670
50,8.85729,179.744,25314
50,6.43931,179.494,24704
50,12.0814,180.357,25335
50,12.6219,183.944,25268
50,12.5865,180.814,25320
50,11.5544,180.941,25470
50,14.4016,184.432,25736
50,8.50771,179.775,24566
50,9.56106,181.802,24698
50,7.74016,182.466,25201
50,9.31361,179.438,24661
50,10.5048,180.558,25277
50,12.6703,183.548,25287
50,13.2624,180.78,25048
50,11.5211,184.227,25279
50,17.0928,183.295,25854
50,7.76752,182.154,25039
50,11.1434,181.447,25541
50,14.563,180.478,25632
50,13.7285,183.523,25584
50,10.9577,182.299,25526
50,10.1651,181.202,25521
50,12.9971,180.122,25509
50,11.7606,181.24,25209
50,10.8482,182.304,25560
50,12.8214,182.195,25569
50,10.246,179.374,24651
50,10.6309,179.754,25029
50,12.1903,180.641,25439
50,8.21552,178.837,24626
50,4.95417,182.771,24859
50,12.2948,181.798,25498
50,13.4836,179.512,24932
50,11.2005,181.14,25002
50,10.491,179.475,25016
50,9.95909,181.756,25273
50,14.0103,182.979,25962
50,8.33143,179.807,24994
50,16.4771,180.451,25654
50,10.2198,183.168,25148
50,16.7126,200.742,25653
50,13.4279,199.72,25197
50,9.81266,193.262,24952
50,12.3447,192.939,25271
50,14.787,196.152,25542
50,9.6101,190.667,24968
50,12.701,197.397,25257
50,11.8467,194.539,24738
50,10.3938,187.822,25412
50,8.31541,194.562,24764
50,9.2093,195.319,25087
50,8.98916,200.957,24852
50,7.26553,194.766,24810
50,13.4962,197.093,25723
50,7.57351,195.684,25139
50,9.67476,192.645,25546
50,11.0135,198.278,24833
50,7.41631,194.11,25049
50,12.1433,193.664,25048
50,8.0956,193.262,25161
50,12.9322,193.95,25658
50,10.2944,199.824,25298
50,11.5893,194.396,25468
50,11.807,193.006,25761
50,11.4493,190.981,24941
50,11.6411,192.562,24831
50,8.70205,196.035,25198
50,9.2924,191.932,24868
50,8.06863,191.413,25204
50,10.8373,192.193,25230
50,16.296,191.863,25412
50,11.574,195.072,25845
50,9.57242,189.416,25390
50,9.53485,188.35,25299
50,12.115,188.468,25440
50,14.0158,186.569,25731
50,12.3603,191.473,25719
50,6.32194,187.725,24963
50,9.93009,185.126,24812
50,9.09557,186.569,24914
50,11.4237,185.928,25513
50,7.98622,186.655,24569
50,14.1099,188.878,25623
50,7.33822,183.482,24946
50,11.2384,184.336,25461
50,13.9284,189.799,25692
50,13.8678,185.755,25652
50,10.3614,186.195,25403
50,6.15232,181.98,24393
50,13.7564,181.916,24963
50,8.57744,182.254,25322
50,9.16717,189.911,24879
50,8.74667,184.883,24738
50,12.4793,182.992,25645
50,11.6309,182.623,24848
50,4.81168,178.89,24236
50,6.87445,179.156,24727
50,12.4547,181.937,24925
50,9.86749,183.148,25444
50,13.2994,180.935,25446
50,6.87165,179.656,24544
50,7.48733,181.698,24805
50,10.8326,182.259,25651
50,9.95144,183.968,24638
50,12.8386,181.259,25382
50,10.585,180.198,24941
50,4.61125,179.622,23709
50,8.61513,179.291,24682
50,11.9201,183.445,25749
50,10.1575,183.929,25376
50,10.8445,180.32,25074
50,9.53444,182.334,25433
50,9.01348,181.254,25359
50,13.9029,182.217,25595
50,13.3733,185.468,25412
50,15.7966,181.067,25746
50,10.9963,180.872,25355
50,15.1196,182.158,25445
50,11.7157,180.772,25103
50,11.4347,184.264,25470
50,8.43558,182.986,24806
50,11.285,182.476,24811
50,12.7595,182.724,25048
50,11.0736,180.474,25306
50,15.4931,183.326,25841
50,12.2442,184.401,25349
50,10.8431,180.935,25393
50,13.4018,182.323,25295
50,11.7098,180.638,25438
50,11.1088,184.713,25194
50,11.5752,184.78,25009
50,8.82262,181.434,25255
50,12.2217,180.998,25478
50,9.69597,179.927,24808
50,11.3447,180.713,24884
50,14.6495,183.97,25522
50,7.29833,181.97,24729
50,9.51099,181.569,25710
50,11.0235,181.119,25325
50,14.1566,185.341,25784
50,12.8201,181.226,25593
50,17.0513,186.298,25961
50,11.7512,181.643,25326
50,14.0554,180.62,25220
50,9.88488,180.487,25338
50,15.3971,182.5,25678
50,8.88895,182.163,24869
50,9.37294,181.565,24860
50,9.8063,182.108,25226
50,5.01212,179.313,24487
50,6.7655,182.482,25016
50,5.7088,181.606,24727
50,9.80195,182.871,25411
50,7.17307,180.967,25065
50,13.0696,181.457,25673
50,14.2768,180.477,25337
50,12.8623,181.039,25733
50,7.0776,183.407,24933
50,9.99188,181.483,24972
50,10.8613,180.5,24820
50,7.25095,181.023,25121
50,15.5191,180.994,25869
50,10.4865,180.982,24685
50,14.0176,183.352,25266
50,8.62849,181.412,25644
50,11.5749,180.841,25383
50,6.93431,182.761,24589
50,7.43223,180.295,24620
50,6.69843,182.719,24586
50,13.4868,181.36,25634
50,11.8993,182.092,25554
50,9.41259,179.843,24894
50,7.47072,180.536,24913
50,16.2708,182.445,25555
50,7.13401,184.081,25088
50,11.6475,187.903,25435
50,12.9397,182.751,25468
50,8.69783,180.101,24120
50,12.9315,181.739,25292
50,9.21351,182.069,24859
50,16.1626,183.034,26115
50,10.9083,179.981,25206
50,12.3391,180.85,24817
50,9.93697,180.753,25332
50,14.177,182.853,25587
50,13.1961,182.311,25521
50,8.5051,180.209,24993
50,12.0416,180.613,25344
50,8.59695,178.949,24686
50,12.2647,182.265,25563
50,9.53936,183.681,25322
50,11.9805,181.176,25715
50,7.04365,179.468,24795
50,14.9793,183.179,25846
50,8.85328,179.758,24952
50,16.8294,184.76,25969
50,4.42085,179.562,24344
50,9.17663,180.272,25015
50,10.9951,180.746,25182
50,10.4256,181.055,25206
50,13.5973,182.009,25143
50,9.01823,181.381,24843
50,10.6198,181.097,24765
50,12.1422,180.696,25154
50,10.8815,180.444,25070
50,8.59872,178.846,24588
50,15.7195,185.101,25606
50,11.6209,180.992,24863
50,9.1158,180.271,24952
50,7.0029,179.806,24819
50,10.1331,180.193,24621
50,13.2306,182.582,25142
50,8.84812,183.237,25398
50,8.4156,180.661,24876
50,14.915,182.839,25832
50,13.9085,181.992,25590
50,11.3884,180.919,25244
50,16.641,183.612,25158
50,9.79473,181.592,25535
50,10.3542,180.127,24935
50,11.1382,182.939,24857
50,7.20848,179.448,24404
50,15.6025,184.148,25535
50,9.541,181.197,25331
50,13.4659,181.135,25587
50,11.1303,181.287,25687
50,9.50262,181.128,24797
50,13.9121,181.561,25215
50,10.0932,182.441,25167
50,7.95874,183.611,25234
50,13.3938,181.405,25582
50,11.5515,185.512,25350
50,9.57234,180.954,25237
50,11.4266,183.671,24878
50,10.7609,180.585,24981
50,10.8982,180.412,25005
50,13.7935,181.072,25461
50,11.6146,180.505,25440
50,7.35292,181.493,24831
50,11.4066,184.337,25725
50,7.06663,180.266,24724
50,7.95262,179.94,24416
50,11.2975,180.461,25176
50,9.93271,179.422,25060
50,8.91029,183.23,24782
50,9.24251,180.957,25222
50,8.54769,179.619,24640
50,8.33293,182.688,24741
50,7.96671,180.543,24797
50,14.951,183.003,25652
50,8.52668,181.771,25248
50,9.52561,179.652,24742
50,14.2395,182.095,25977
50,11.2244,181.656,25451
50,10.6384,180.379,25302
50,8.72487,184.382,25389
50,8.58335,180.983,25031
50,14.0797,185.049,25771
50,12.1321,181.516,25529
50,13.2393,180.562,25468
50,13.1599,182.684,25317
50,7.55271,180.999,24753
50,11.376,181.123,25332
50,13.9077,181.26,25594
50,11.8559,183.162,25272
50,13.4809,185.182,25963
50,10.2146,181.588,25022
50,15.5762,180.334,25128
50,13.5465,180.741,25188
50,12.8293,180.4,25512
50,12.6545,180.638,25446
50,6.9166,183.64,24897
50,14.843,182.311,25643
50,7.67079,179.66,24523
50,16.9982,182.607,25633
50,12.6814,180.581,25524
50,9.9439,181.898,24878
50,11.3405,182.699,25190
50,13.794,181.335,25159
50,10.8429,180.881,25518
50,8.20883,181.004,24859
50,12.7816,180.517,25058
50,8.24631,183.959,25202
50,13.6766,183.532,25464
50,6.72969,182.464,24401
50,6.02999,185.209,25327
50,11.3618,180.527,24870
50,8.31273,182.422,24890
50,7.9395,183.961,25242
50,11.9325,181.007,25194
50,6.86527,180.384,24804
50,12.7464,180.4,25374
50,6.76786,180.778,24703
50,13.3543,185.872,25460
50,8.95929,181.073,25437
50,14.028,182.078,25817
50,9.38525,183.163,25166
50,13.922,182.534,25675
50,8.1044,183.65,25298
50,12.5341,181.069,24979
50,11.3654,180.746,24963
50,10.3478,183.5,25227
50,12.056,180.64,25298
50,10.5949,182.968,25319
50,9.09986,182.49,24713
50,12.3284,180.685,24924
50,12.9544,181.003,25069
50,12.5039,181.045,25376
50,13.3465,181.864,25665
50,12.876,185.595,25284
50,11.71,181.261,25287
50,10.4383,181.681,24544
50,12.2375,181.78,25291
50,13.291,180.769,25031
50,11.6365,183.129,25536
50,11.4045,182.674,25297
50,7.25275,180.004,24548
50,11.4457,180.373,24850
50,7.342,179.434,24932
50,11.6172,181.015,25508
50,6.72618,183.109,24652
50,7.91562,181.06,24701
50,7.49147,179.762,24855
50,12.5226,180.788,25385
50,7.38774,179.209,24716
50,10.2176,182.014,24668
50,8.32498,180.975,24556
50,13.1792,181.798,25777
50,7.77657,179.998,24814
50,9.28021,182.262,25441
50,7.43967,184.358,25094
50,8.53952,182.144,25003
50,13.4068,180.333,25317
50,10.7539,181.565,25570
50,11.5303,180.4,25365
50,4.00598,180.566,24868
50,5.86688,182.748,24625
50,7.76812,182.183,25257
50,11.8332,182.912,24619
50,8.38058,182.463,24642
50,12.6136,178.952,24659
50,10.3678,182.298,25027
50,12.3457,181.374,24944
50,13.0412,181.096,25698
50,10.1818,181.391,25179
50,10.03,182.113,25562
50,11.3889,180.141,25048
50,13.5706,184.353,25654
50,11.1507,179.631,24739
50,14.5939,182.356,25889
50,13.0104,180.715,25270
50,15.6226,180.168,25402
50,11.9669,183.147,25097
50,11.5995,181.877,25174
50,11.1642,181.689,25737
50,12.5447,181.256,25081
50,11.145,185.008,25384
50,11.4934,181.361,25133
50,7.28734,180.595,24587
50,14.4028,181.38,25775
50,6.14528,181.074,25183
50,9.1426,180.71,24765
50,10.8482,180.822,25562
50,9.49378,182.244,24557
50,13.0309,181.543,25072
50,9.1138,183.943,24864
50,7.28404,179.933,25031
50,7.9079,179.137,24754
50,9.62969,181.917,25254
50,8.26071,182.628,24989
50,11.1187,180.019,24767
50,11.1643,181.943,25155
50,12.1992,179.537,24488
50,7.40411,179.483,24796
50,6.84855,183.034,24710
50,10.324,181.023,24762
50,7.20062,179.148,24290
50,12.8082,182.225,25567
50,9.92447,181.567,25462
50,10.2198,181.768,25051
50,7.91377,180.382,24639
50,8.35451,179.542,24885
50,7.63731,180.116,24878
50,9.08866,181.756,24682
50,11.4933,180.107,25340
50,8.99376,184.321,25334
50,10.5947,180.368,24754
50,10.243,179.454,24816
50,13.7506,180.926,25897
50,5.35165,182.826,24783
50,10.4958,181.474,24998
50,10.8346,181.396,25077
50,7.44714,182.312,24941
50,4.50941,178.915,23895
50,8.97655,182.58,25111
50,10.3253,181.596,25214
50,12.3501,183.958,25614
50,13.036,180.682,24859
50,13.3751,180.141,25586
50,14.1959,180.468,25462
50,13.5166,182.622,25750
50,9.93112,183.299,24933
50,11.3097,183.623,25678
50,17.9607,181.851,26136
50,14.6616,181.36,25534
50,6.64194,179.252,24744
50,8.86338,181.823,25281
50,7.04905,180.854,24964
50,13.7124,181.151,25770
50,11.703,179.95,25260
50,10.1598,183.401,25249
50,7.51985,181.126,25291
50,7.97292,182.245,25053
50,12.8221,181.03,25368
50,7.10519,179.762,25055
50,8.08239,179.52,24946
50,13.6007,181.427,25498
50,6.97786,181.29,24702
50,9.88445,183.535,25540
50,10.3964,182.516,25230
50,14.8378,180.725,25428
50,12.3367,180.794,25612
50,10.3396,180.032,25321
50,14.1036,184.034,25597
50,9.97466,180.783,25067
50,11.5333,181.105,25441
50,11.7535,182.198,25381
50,12.6844,181.164,25281
50,13.634,183.038,25457
50,13.7147,182.613,25700
50,10.7151,180.601,25247
50,10.6788,181.009,24721
50,10.6898,179.394,24774
50,4.16931,178.791,24350
50,7.40755,183.892,25101
50,10.186,180.592,25232
50,13.9643,181.274,25280
50,11.2098,183.447,25138
50,12.4484,180.434,25421
50,10.1896,182.925,25328
50,8.03794,181.508,24722
50,5.53838,180.72,25052
50,11.2997,181.285,25216
50,8.86502,181.09,25114
50,14.1693,181.829,25520
50,13.4143,184.246,25479
50,13.219,183.837,25018
50,8.84055,182.118,25347
50,10.614,182.827,25407
50,10.7892,182.142,25761
50,10.3916,183.606,25076
50,13.4581,182.314,25568
50,10.1664,181.005,25362
50,10.737,181.186,25515
50,9.7655,179.44,25143
50,12.4285,181.797,25322
50,10.6556,182.727,25415
50,8.79509,180.624,25177
50,10.0304,181.556,24946
50,7.78558,181.76,24735
50,9.56257,179.805,24836
50,9.04183,183.408,25010
50,9.25494,181.341,25401
50,11.002,181.047,25262
50,8.8611,181.284,24555
50,7.52301,179.497,24676
50,7.04426,181.995,24984
50,6.91639,180.758,24659
50,13.1798,181.019,25676
50,7.613,180.798,25228
50,11.9325,180.726,25021
50,11.5362,181.095,25516
50,9.27314,183.771,25233
50,14.1828,182.595,25877
50,7.11701,179.345,24873
50,9.59021,181.341,25003
50,7.22888,180.073,24909
50,12.8248,182.225,25228
50,14.6674,182.154,25449
