score,achieved_return,computational_cost,nb_calls
50,11.5506,197.75,24558
50,13.882,196.963,24698
50,14.2751,179.974,24649
50,13.1431,181.194,24782
50,8.93733,206.191,24045
50,9.79155,193.84,24154
50,13.953,185.546,23804
50,12.9559,209.037,24621
50,11.5023,190.003,24467
50,8.44428,200.987,24792
50,13.0422,196.044,24090
50,8.81407,178.294,24501
50,14.1094,196.631,24801
50,9.57942,200.724,24602
50,12.6846,178.786,24262
50,8.4506,177.925,24068
50,10.1984,190.755,24540
50,7.53628,195.389,23754
50,15.0306,185.086,24711
50,8.82365,178.631,24580
50,5.89139,178.915,24162
50,13.6083,203.947,24703
50,8.50462,198.707,24417
50,11.3963,178.963,24306
50,11.2651,179.652,24481
50,11.2297,179.497,24652
50,12.4518,179.361,24661
50,8.90923,180.795,23747
50,10.2825,180.972,23993
50,12.5042,199.18,23853
50,6.31161,206.558,24047
50,13.0521,202.018,24497
50,14.0915,193.965,24746
50,6.77406,179.64,23964
50,14.3656,178.891,24740
50,10.2631,178.461,24571
50,6.15835,177.418,24041
50,9.78451,181.615,24699
50,13.3426,179.242,24444
50,14.9892,179.805,24754
50,14.9481,179.175,24698
50,14.6114,178.918,24799
50,5.7809,178.698,23758
50,7.77673,179.099,24384
50,13.9994,180.315,24716
50,11.9309,178.725,24162
50,6.7548,178.209,24058
50,13.3029,179.177,24746
50,8.8737,180.473,24350
50,9.34905,178.458,24115
50,9.78621,178.272,24050
50,11.3626,178.616,24391
50,10.2042,178.892,24011
50,13.3943,179.922,25019
50,9.70484,178.721,24149
50,11.1282,183.853,24367
50,11.5898,180.1,24382
50,7.2883,180.302,24406
50,11.576,181.311,24812
50,10.3092,197.15,24397
50,8.67812,209.497,24504
50,13.3177,216.079,24588
50,7.92884,196.765,24191
50,6.58929,180.401,23895
50,8.2003,183.29,24423
50,10.2305,180.605,23840
50,10.5813,180.58,23847
50,14.7219,184.802,24902
50,13.1123,181.168,24491
50,9.57323,195.541,24451
50,9.17299,215.071,24348
50,10.2544,193.066,24570
50,9.21386,181.591,24586
50,13.5293,188.656,24448
50,10.8184,207.64,24509
50,9.60731,216.268,24852
50,14.3464,199.783,24807
50,9.57319,205.666,24534
50,10.3994,198.233,24150
50,10.8184,202.222,24308
50,13.0422,183.12,23970
50,14.3478,212.414,24571
50,12.3004,205.145,24142
50,9.98394,218.774,24651
50,14.4574,199.229,24609
50,7.55825,198.291,24080
50,11.1145,181.28,24674
50,13.4349,181.205,24838
50,14.1493,181.11,24528
50,8.9497,181.481,24395
50,14.9887,220.357,24615
50,7.38239,198.051,23837
50,9.23433,181.071,24276
50,9.185,179.977,24182
50,7.18573,180.345,24305
50,13.7686,181.893,24375
50,13.06,183.484,24643
50,8.19805,179.993,24397
50,11.4529,181.113,24572
50,6.34839,180.672,24403
50,9.66416,179.58,23843
50,10.7588,181.403,23997
50,6.34374,180.023,24127
50,7.36941,179.999,23767
50,11.705,180.996,24643
50,8.29965,179.667,23706
50,12.337,181.831,24709
50,8.6661,180.52,24636
50,10.0595,180.325,24110
50,11.1101,180.534,24529
50,9.38981,186.013,24547
50,12.7547,206.122,24673
50,13.2672,205.945,24403
50,14.3453,181.456,24595
50,8.87296,181.497,24599
50,10.3825,181.209,24323
50,9.8609,207.71,23958
50,10.3512,215.417,24953
50,9.18619,215.856,23988
50,14.3967,190.014,24820
50,10.9433,180.998,24494
50,11.4653,181.511,24530
50,15.4039,180.5,24591
50,16.1888,180.883,24696
50,6.76761,183.426,23956
50,12.9969,180.934,24480
50,6.75188,181.098,23816
50,9.678,195.214,24370
50,10.2514,199.3,23895
50,12.6677,181.377,24456
50,9.06538,180.968,24854
50,11.1185,199.066,24357
50,7.13107,211.405,24544
50,5.02919,180.1,23886
50,14.3703,180.951,24460
50,12.0693,183.415,24477
50,12.0304,181.785,24567
50,14.6068,183.967,24635
50,12.8127,181.613,23933
50,12.1708,208.619,24550
50,12.1383,216.189,24910
50,8.44334,202.986,24532
50,8.55808,205.24,24697
50,10.8989,203.73,24650
50,7.8963,210.427,24035
50,11.6567,207.325,24230
50,16.6879,196.054,24646
50,7.15071,204.124,24066
50,15.3997,191.72,24582
50,13.3378,179.378,23911
50,11.1588,180.906,24549
50,10.6575,180.146,24415
50,12.0126,181.627,24795
50,10.5149,183.334,24530
50,6.87411,181.926,24071
50,6.71439,213.445,24386
50,10.525,192.445,24192
50,10.6465,179.12,24583
50,13.3556,178.987,24612
50,10.7551,178.08,24586
50,9.96335,178.091,24559
50,8.16975,178.036,24478
50,10.6049,179.841,24439
50,9.16059,180.302,24584
50,6.17048,178.063,23795
50,12.7769,183.089,24533
50,10.9048,184.212,24543
50,11.2947,180.852,24758
50,10.382,185.892,24226
50,11.1973,181.111,24445
50,10.5769,178.567,24608
50,10.1111,177.41,24064
50,13.4444,178.186,24691
