score,computational_cost,nb_calls
473,2812.55,513424
322,1432.7,247001
688,3080.39,525968
1000,4805.88,801457
340,1608.47,266922
430,1831.23,304519
485,2237.3,380642
431,1881.42,340167
414,1816.8,314609
368,1766.31,279334
520,2260.47,396003
402,1707.16,307283
1000,12612.7,439853
748,3487.75,538146
702,3364.56,524171
382,1626.77,288605
698,3302.44,574284
779,3686.12,658169
561,2753.25,425824
480,2238.8,382142
1000,5018.7,846335
259,1095.57,186127
417,1854.84,330588
423,2026.1,307232
462,2198.93,369078
810,3956.63,697453
501,2394.34,402895
453,2415.31,343069
568,2542.34,422253
455,2139.36,367397
1000,5197.34,815480
595,2966.3,507014
493,2203.45,388972
379,1873.87,269702
649,3203.57,472416
1000,6866.48,711631
809,3676.82,584205
448,1973.36,330175
429,1916.31,318513
196,892.91,146747
777,3765.5,654055
601,2826.73,466324
437,2123.09,323093
280,1171.34,205724
984,5312.2,816219
1000,5059.55,841659
490,2279.5,371246
668,3274.77,492867
449,2251.38,335242
767,3688.6,633034
399,1824.46,302734
432,1820.35,320933
1000,5157.26,848254
705,3287.86,557093
511,2423.15,392902
512,2452.72,438871
452,2028.07,340146
384,1739.65,276400
839,5164.16,611246
388,1721.17,299493
761,3388.27,621639
426,2182.15,318412
403,1870.77,307164
373,1970.05,257309
396,1809.64,287493
1000,5449.98,837662
793,3859.55,660551
676,3179.45,516367
500,2237.31,360221
278,1585.83,191189
618,2913.34,492764
401,1897.96,286831
813,3759.74,629238
284,1297.67,207132
685,3164.83,550715
580,2624,433737
499,2249.91,379317
619,2977.09,480629
1000,12273.8,457098
513,2252.75,391529
386,1632.99,290479
331,1519.32,274684
631,3079.6,461006
301,1379.37,212941
314,1403.5,226189
882,5286.92,676944
294,1331.34,238961
639,2915.51,500150
510,2451.07,376244
420,1829.96,315236
254,1117.21,179841
574,2672.26,436530
492,2284.74,400343
507,2461.78,403027
466,2226.01,359099
1000,5897.86,808313
338,1511.14,259627
435,2244.97,317121
1000,5400.92,811222
838,4317.99,689956
1000,4995.76,849613
1000,6935.98,745925
251,1081.55,193810
799,3870.95,687922
577,2698.39,472268
596,2772.18,452767
1000,11877,482402
360,1615.71,250461
726,4050.34,579054
789,5294.29,552473
274,1197.8,202430
454,2093.58,351897
355,1681.68,276728
387,1842.56,274305
694,3483.95,554697
265,1277.77,195550
398,1783.14,301658
467,2204.11,382513
593,2773.28,442474
700,3431.84,595657
556,2621.63,471661
1000,4981.51,908518
613,4349.72,431226
591,2736.6,466207
388,1760.52,285388
435,2313.83,333766
584,2718.79,446558
399,1695.57,306529
760,6061.05,477894
369,1564.19,276704
367,1693.99,300842
233,1068.95,179675
805,3950.95,680547
618,2756.94,496067
609,2973.01,468306
487,2366.08,409049
334,1474.09,249958
1000,5327.77,884493
525,2517.86,435558
599,2683.22,475010
342,1537.96,251744
944,4537.64,780121
835,4074.4,695524
579,2839.43,490831
440,1967.84,315384
345,1475.73,260530
439,2016.49,342370
368,1654.03,274032
443,2057.3,330479
952,4626.57,786092
291,1282.16,235412
653,3130.44,480605
154,641.648,111191
942,4545.42,786577
417,1941.98,310041
1000,4974.03,821602
259,1114.49,186886
557,2560.24,438919
742,3796.81,601523
777,3631.88,601478
551,2479.3,442076
495,2342.23,413046
1000,5047.91,861606
441,2034.24,348587
636,2973.36,530551
449,2013.69,354047
610,3461.1,445608
568,2797.87,401196
383,1700.34,299898
668,3100.41,540679
254,1166.31,194927
496,2362.68,397807
564,2477.59,427230
398,1912.59,285157
376,1809.78,289501
417,1827.12,309480
470,2185.56,338058
872,4327.77,718499
1000,15377.1,335023
726,3685.59,558055
909,4539.94,715252
537,2565.74,432300
1000,10302.6,566498
238,1046.74,188469
526,2350.76,406769
470,2092.04,333716
1000,11094,518347
534,2334.47,387242
511,2333.91,405853
420,1798.21,314392
746,4716.92,565741
570,2657.76,455394
369,1682.02,277497
316,1405.93,239086
323,1470.19,231123
438,2068.36,351971
886,6095.17,619219
394,1690.09,289189
772,3534.35,552942
467,2101.26,330253
722,3276.91,528673
633,2735.44,462838
957,6127.79,740178
1000,5332.91,776144
441,2631.43,316625
584,2852.19,477412
537,2500.03,392674
479,2217.79,399483
465,2032.05,334411
451,1929.83,349327
782,3708.77,623925
1000,5153.56,839162
827,4268.69,650309
374,1589.21,271729
404,1728.39,303721
634,3056.86,526932
675,4309.87,501820
478,2088.23,350827
1000,5225.55,892467
551,2612.02,440960
1000,10910,555122
1000,5436.71,809687
689,3144,561355
662,3134.49,504577
399,1698.16,302830
347,1543.13,256023
588,2750.72,486473
434,1983.12,318309
451,2089.36,354810
586,2693.63,485241
704,3466.75,569999
540,2442.6,408176
979,4890.01,786611
257,1202.52,185242
347,1689,303422
569,2715.46,442691
376,1717.07,302108
435,1837.41,317925
266,1162.77,200513
618,2785.57,470610
328,1397.75,239946
575,2656.51,457052
464,2092.91,356986
565,2642.46,450864
1000,5043.1,858141
292,1231.6,215533
1000,4784.59,769796
336,1485.6,246141
520,2503.13,419257
777,3686.44,616521
390,2198.32,267102
463,2039.79,344434
296,1336.59,210252
422,1882.63,331265
401,1670.43,308009
645,3087.91,505229
649,3065.1,510417
742,3536.03,628279
266,1153.71,197515
476,2165.35,385441
627,2998.82,484114
1000,8307.62,635761
406,1858.55,290149
1000,5659.72,806222
815,6417.46,529002
373,1697.81,291656
740,3989.78,549299
589,2826.92,455815
1000,5915.61,771123
1000,4617.69,750292
1000,6051.29,725518
704,3190.75,567257
390,1730.41,286129
523,2418.68,389884
350,1502.87,260463
542,2755.05,444743
206,853.89,148627
1000,5484.02,869098
810,3935.71,602112
495,3733.53,325641
433,1863.63,332622
681,5984.98,416383
415,1981.51,293676
342,1485.39,240191
481,2239.05,386510
442,2104.01,352206
403,1791.48,303942
746,3838.14,619874
433,1919.54,333701
937,4736.06,716179
642,2977.97,499999
583,2645.78,427506
374,1894.06,269274
556,2635.05,426040
204,862.739,150611
367,1548.79,277320
499,2288.63,381485
494,2232.38,360675
379,1664.45,280545
700,3396.13,580671
703,3561.86,543013
440,2035.52,364657
323,1479.67,238950
589,2540.35,440700
571,2661.59,419572
633,2940.66,515034
329,1483.34,251344
1000,5138.56,855095
