score,computational_cost,nb_calls
134,556.921,74278
126,517.791,68661
108,443.601,60687
124,632.67,79517
118,501.508,69057
146,586.178,80901
112,439.001,63874
110,434.413,59776
150,643.973,81881
116,487.737,63489
152,721.414,95405
136,657.39,83861
136,557.738,73387
114,438.083,58455
140,578.238,73356
126,540.996,77547
120,466.02,65596
162,709.493,99064
102,403.851,54653
122,510.707,66673
130,581.999,78166
88,383.014,52455
110,489.646,65116
140,643.638,84902
120,466.062,65752
142,642.609,87779
98,354.565,49619
104,421.936,58157
126,481.977,66792
160,643.267,88344
129,588.888,81257
114,460.483,62347
140,564.883,78990
128,545.955,73908
124,493.232,68855
118,495.946,68370
136,571.002,77947
126,485.819,66545
96,394.871,51546
196,842.671,115674
104,429.438,58624
102,386.346,52504
152,586.281,80528
156,614.824,86193
134,547.425,71602
114,481.69,64170
128,545.241,72949
126,554.777,72542
126,489.201,65630
110,449.09,59147
126,536.808,72490
86,368.578,47873
102,413.34,54502
104,424.084,56918
164,876.544,109679
118,504.858,65789
138,627.589,82427
156,657.985,89258
156,645.553,87034
232,1002.19,145073
136,561.375,72396
102,421.631,54493
144,618.471,86557
146,621.742,87746
122,499.848,69318
144,604.063,81713
116,493.968,63962
136,509.397,72975
132,560.401,73968
108,500.553,63413
148,736.642,96616
106,426.859,56999
86,339.777,43359
116,513.902,66717
118,542.139,71410
98,439.466,54600
180,845.216,108691
130,561.381,75556
94,431.32,54431
118,439.582,63081
112,477.646,61638
118,531.746,71928
148,578,79678
92,342.039,46386
174,799.624,109491
112,485.614,65728
162,710.399,90425
106,443.093,63082
118,597.694,75706
180,809.321,109613
118,406.733,55602
120,509.568,68900
116,439.627,60086
228,1150.5,155464
142,614.559,85117
150,657.593,88538
138,581.928,78353
100,399.298,55532
98,387.896,52055
158,628.158,85938
167,792.653,109402
150,653.909,87961
108,514.588,67637
138,589.273,78592
230,1038.54,136760
106,422.837,58892
126,520.058,69583
130,546.266,76510
214,906.908,126310
88,385.921,53328
136,624.749,79526
112,441.356,60638
120,540.483,70048
139,598.362,81361
160,736.571,98037
84,359.944,47563
212,886.53,120800
112,455.615,61424
146,603.278,79578
118,441.146,58661
150,694.471,91419
112,473.496,65749
134,524.554,71806
150,592.309,80126
150,730.326,94580
126,529.659,72423
140,641.604,86345
194,920.213,126768
170,736.094,97252
114,453.239,61027
152,684.519,92384
150,672.496,88206
156,691.666,93908
110,462.155,61891
112,440.663,59026
112,428.487,61447
106,471.718,62918
112,451.336,62365
98,420.37,55695
142,601.506,82359
116,478.568,66330
102,466.916,60524
102,402.462,55129
126,456.931,64652
172,755.816,100654
96,379.913,53686
120,472.093,63731
120,526.899,70292
136,639.951,81044
92,384.913,52538
98,405.403,53748
88,382.74,53069
86,336.228,46640
172,714.247,94923
162,680.598,88233
118,454.295,63319
120,493.814,65778
114,444.521,62849
150,744.535,99059
130,558.22,78134
162,699.261,96806
178,931.201,118545
104,428.625,61785
110,453.516,60704
98,401.295,55726
166,718.865,104133
118,485.449,66247
114,448.146,62167
114,466.404,63641
130,525.173,74473
136,544.879,76327
150,641.01,85672
148,660.965,88791
116,448.497,61340
158,670.475,87265
152,570.41,80325
122,480.616,63694
