score,computational_cost,nb_calls
74,263.478,32837
104,491.005,53191
60,263.476,31645
76,288.822,33991
62,259.127,30936
78,287.238,34075
74,265.316,31890
96,371.433,44658
76,303.59,36068
86,346.219,41006
80,310.093,36148
234,1200.57,130530
78,287.815,34403
74,293.008,36498
124,548.058,65082
150,793.461,84687
96,378.066,47430
362,2157.78,220962
72,251.314,29899
78,285.208,35099
82,337.369,37619
190,949.91,107089
114,499.231,65699
84,392.793,44674
88,368.294,42785
90,416.632,48664
88,357.781,43273
108,489.744,54871
96,408.861,49130
66,269.037,31513
70,262.481,32541
72,265.117,32493
70,263.444,32124
68,302.339,36087
70,280.668,34243
90,312.83,39481
142,717.066,83524
110,472.901,57039
70,265.502,31510
84,318.673,38992
78,382.654,37956
84,361.361,36504
66,298.065,29343
104,517.901,47331
82,356.069,36315
88,391.213,40869
146,848.033,79523
1000,14020.2,377741
86,323.108,38581
100,359.63,45188
110,511.862,49298
84,358.827,42412
190,1008.78,109421
76,263.429,32460
76,343.993,39206
135,629.102,68697
78,286.443,34457
80,312.846,39145
82,296.85,36859
84,331.225,35270
90,306.331,37117
82,300.279,38128
68,249.124,29724
86,328.06,40262
68,299.877,34738
66,264.132,31798
76,299.042,37007
86,315.953,39416
94,431.961,52091
76,299.025,36811
76,277.926,34905
78,309.005,38481
134,637.86,73770
80,300.912,37014
80,313.858,39442
84,316.087,36345
86,335.202,41856
76,314.494,39136
80,321.589,37305
80,322.34,37541
80,286.272,34941
910,11174.9,366953
70,315.154,35529
70,282.683,32356
76,283.229,32264
72,281.607,32280
78,329.346,38386
78,295.631,35599
98,386.703,45822
154,782.044,77302
88,356.416,41912
78,316.431,36371
86,389.267,43471
74,276.6,32885
64,274.449,31405
1000,15613.4,306445
116,538.27,62200
106,478.339,54421
70,277.905,31303
68,319.786,35464
68,299.52,33594
70,265.256,29954
76,318.569,36170
80,316.175,36553
74,294.307,33988
84,346.641,37604
64,294.617,33814
68,280.97,32473
74,275.236,32866
78,333.62,37295
108,554.463,52269
74,315.579,34994
72,281.767,31989
68,279.676,32125
80,297.826,34938
80,294.719,35425
82,339.798,38557
76,317.589,36765
238,1272.44,131489
94,406.601,48698
112,524.353,60025
82,350.133,41554
82,352.785,40909
114,505.415,55371
116,540.407,65823
82,346.249,38697
88,369.683,43112
72,265.293,30108
72,300.882,33588
70,282.285,32309
500,5504.76,233489
72,369.422,36024
148,845.412,74186
80,375.1,35925
74,375.638,35745
148,939.328,82903
82,374.469,36998
78,372.379,36867
84,349.611,35300
248,1581.75,138634
696,8124.45,341489
86,433.222,42432
334,2575.79,187559
76,345.077,35732
94,501.427,44184
106,623.715,47554
80,371.285,37469
66,306.446,29500
72,349.11,33605
92,452.42,44506
86,392.617,40437
82,412.331,39498
66,350.105,34131
82,389.368,39391
94,394.071,39507
70,354.991,33525
80,355.719,34327
86,455.207,43427
84,412.326,41385
80,352.518,35080
72,354.5,33209
86,404.868,38921
86,391.059,38706
182,1119.8,100550
72,311.212,29832
72,353.246,34763
98,513.079,50562
74,325.489,32331
82,413.049,40496
678,5760.62,404054
104,526.274,51810
74,350.187,34370
78,348.883,34665
68,322.359,31938
78,350.488,34818
102,556.228,56063
82,391.211,39313
90,480.646,45808
76,407.801,37921
122,718.067,67218
94,477.543,45416
74,382.24,34999
78,393.902,39194
76,351.876,34460
80,370.279,37725
78,394.166,38776
86,516.274,46688
84,375.218,37101
88,505.815,43387
98,487.756,47479
88,429.143,41176
188,1706.82,102339
100,546.785,53869
84,432.336,39988
78,351.388,34589
82,397.881,37697
70,386.22,36234
74,379.197,35493
132,795.803,78603
66,326.74,31746
98,475.226,47613
206,1327.4,101444
76,371.971,36237
78,396.216,38812
74,307.107,30906
78,356.924,34264
70,333.397,31937
70,329.887,32727
76,339.059,32234
82,354.221,35041
132,727.935,67643
84,414.368,38817
66,329.318,32228
172,1147.67,99854
76,351.69,34342
80,375.435,36799
74,367.235,36728
88,355.156,35497
72,369.927,36688
72,356.552,34122
58,307.932,29516
70,355.661,33920
84,391.793,39297
76,352.578,33871
80,444.14,41792
532,4907.98,303963
82,349.844,34157
74,347.259,34672
188,1203.03,103354
86,392.364,38581
78,352.279,34252
72,327.307,32319
80,354.01,34819
80,409.281,39293
244,1502.09,144810
80,375.035,36293
72,375.038,35645
74,376.37,35888
88,454.9,45329
86,498.834,47524
76,345.048,34523
64,329.63,31440
80,469.902,43848
86,458.037,43021
176,1176.03,95880
84,412.868,41469
94,459.504,45539
88,408.932,40723
66,343.051,28957
86,431.335,42929
88,412,41758
70,328.563,32081
170,1004.27,91100
412,3137.95,242287
80,354.823,34648
96,472.44,46627
106,587.113,51723
84,402.345,38691
90,416.908,41689
70,326.833,31854
114,655.516,52751
78,368.904,36252
74,372.37,37084
62,289.421,26718
86,412.905,42037
1000,18398.9,301036
78,351.751,35184
68,338.523,32380
86,442.341,40373
84,426.689,35578
64,335.123,31342
110,579.263,56101
78,353.654,34710
70,329.038,31982
88,417.979,41271
86,453.335,41524
74,375.744,35933
124,699.882,66081
188,1220.38,104943
100,526.251,45387
80,394.79,38937
68,350.554,33361
528,4521.44,308750
232,1543.14,148803
134,782.104,67507
114,599.788,55851
74,327.707,32585
66,355.228,32687
88,461.945,45694
322,2623.04,178481
410,5958.16,146109
82,357.2,35630
94,463.439,45531
66,306.591,29169
64,334.41,31369
396,3202.22,226513
88,401.278,39345
176,1109.28,105436
116,616.222,61279
78,379.084,36896
82,444.964,37268
106,561.019,52748
72,312.173,30570
86,456.209,43340
84,375.708,37280
420,3310.51,247377
74,374.971,37359
82,374.789,36671
92,443.254,42512
80,374.28,36954
80,408.018,39054
128,675.521,62922
114,678.534,63699
72,337.275,32582
558,9270.3,189829
84,394.426,39658
136,783.406,73874
82,374.014,36290
102,564.179,53728
84,409.317,41302
80,357.992,34327
72,310.439,30011
272,1668.25,159768
70,374.625,32227
70,329.056,31997
72,313.673,29953
76,352.333,34442
82,394.687,39883
62,290.951,26805
80,371.396,36722
104,502.525,48507
90,421.091,41568
312,2109.56,188176
64,325.835,32086
72,375.247,36410
88,410.083,39962
72,329.765,32149
78,398.648,38727
70,312.578,29327
96,502.591,48459
86,440.689,41476
78,359.955,34387
74,373.246,36375
102,552.892,45524
82,382.109,36968
82,380.374,36548
76,406.529,37765
70,315.882,29465
136,798.764,77546
104,563.978,51061
74,336.388,31348
76,400.403,37695
70,333.818,32361
84,391.576,39590
68,329.295,31527
80,374.629,36044
384,4062.06,199207
1000,17155.1,331481
74,330.345,32763
80,367.786,37486
80,375.67,36604
70,341.192,31975
90,414.921,41435
72,330.193,32533
78,496.018,39612
