score,computational_cost,nb_calls
288,3150.11,315216
148,1377.42,152505
144,1563.05,156618
122,1162.46,118572
114,1125.07,113717
140,1454.95,152410
112,1211.64,121340
106,947.274,100005
126,1216.75,121181
74,758.307,75494
88,875.854,94922
98,932.714,96793
120,1222.94,124836
134,1432.56,154505
100,900.794,91842
90,785.809,81731
96,948.478,99404
213,2227.26,235980
112,1054.13,106573
122,1201.59,125498
98,985.369,104827
78,857.904,90823
70,726.916,76203
88,826.969,87313
132,1242.93,126297
114,1026.11,106525
124,1310.92,138457
170,1734.61,173692
110,1187.9,124292
120,1122.91,112624
114,1029.18,107641
106,1066.55,111535
110,1012.6,107695
80,789.923,82998
112,1099.78,118911
128,1491.2,152447
116,1207.86,124007
162,1723.1,177078
90,818.247,87172
118,1135.73,117652
82,768.766,79281
98,917.009,90036
96,1060.55,111135
112,980.66,99014
92,1035.43,109860
172,1872.22,186844
225,2506.88,228097
106,916.126,96076
122,1182.62,121619
104,1047.27,99913
86,810.471,83825
94,856.852,86045
122,1176.82,123726
132,1311.36,138199
86,885.469,93686
108,1115.75,114706
80,724.747,75549
138,1369.19,145270
122,1165.82,121420
116,1179.7,123654
82,759.906,85022
88,792.572,82922
92,951.137,98492
106,993.589,104102
158,1607.89,165026
118,1198.77,119985
104,1019.47,105567
122,1247.16,132338
88,840.924,88161
102,1093.11,114117
102,1032.64,107132
158,1700.95,173689
108,1077.28,108125
124,1226.78,132337
82,765.531,80189
106,1038.4,109472
84,829.175,92899
138,1396.99,146677
94,981.512,100061
130,1224.96,130184
108,1109.59,116242
84,910.207,96846
116,1079.92,114184
118,1125.96,120871
114,1168.54,119027
106,1006.66,106860
82,778.668,84841
118,1202.46,125275
180,1766.32,182888
116,989.065,98714
114,1226.65,126677
80,660.093,68815
114,1165.38,108921
198,2128.95,216367
122,1445.43,113256
144,1290.56,124651
118,1037.24,111011
100,924.533,102154
94,847.777,90112
116,1158.76,119346
98,998.316,107696
122,1164.87,124231
106,1133.41,117444
100,909.24,93718
132,1318.39,144193
109,1455.81,145185
110,1127.37,117968
80,783.526,83078
106,1065.76,110166
90,1024.14,103025
190,1887.21,195531
134,1421.79,147026
188,1912.92,195791
136,1415.18,146500
96,980.521,103485
94,990.933,106212
138,1319.49,138680
78,850.034,86497
1000,21787.9,757790
134,1472.98,161194
82,734.976,76401
136,1281.71,140372
96,1001.35,110346
112,1128.59,116909
112,1082.62,108185
106,907.767,93039
166,1591.4,162213
124,1211.8,129216
114,1144.86,120784
128,1329.14,134208
90,833.856,83004
82,840.206,87125
126,1285.42,132149
144,1467.34,144343
104,1000.93,106697
108,1117,106048
82,834.215,86494
130,1397.15,138522
110,1109.76,106417
116,1276.09,131621
102,959.846,100544
132,1230.62,119860
98,1022.97,100697
86,835.692,85970
176,1821.11,190480
100,1026.8,107303
90,895.994,94047
218,2222.38,237797
132,1293.23,134515
122,1129.89,117930
204,2034.34,202945
116,1130.05,117358
96,893.275,89966
114,1245.88,135397
90,797.632,80502
110,1137.43,122285
100,986.588,101002
106,1023.1,109749
124,1302.68,132992
88,842.308,91753
130,1347.6,148657
94,857.349,89120
96,982.997,99411
122,1120.31,116695
112,1078.78,104495
138,1285.3,135203
106,968.124,99835
104,981.741,105759
116,1243.38,129264
106,1032.23,104972
98,901.265,96762
134,1325.6,129873
84,877.3,93127
96,995.533,104582
279,2907.06,299045
118,1248.52,127912
88,842.169,89331
108,1270.19,130260
272,2681.74,276444
78,721.293,74942
108,1086.59,112378
122,1315.97,133260
86,869.729,92098
84,890.22,95893
133,1376.5,147419
152,1423.38,139572
138,1270.96,126241
112,1188.38,130816
106,1156.37,123191
100,960.059,97819
130,1379.91,145890
112,1008.21,102868
84,958.23,98364
116,1194.89,121117
118,1169.99,108917
122,1244.31,134695
76,741.523,79824
104,1032.55,108940
82,827.415,88445
110,1082.82,111187
92,813.719,85540
98,866.977,93722
112,1165.27,126312
100,995.301,103422
152,1462.07,148764
110,1112.76,114328
126,1210.68,125211
98,922.505,92409
92,828.462,88075
190,1989.05,210395
106,982.234,105120
140,1468.27,158472
102,1148.53,115648
114,1149.23,117835
80,736.44,75845
104,1052.9,111562
136,1370.29,139511
120,1228.56,129666
110,997.109,104032
114,1006.41,103328
108,1083.21,109025
122,1157.03,122402
125,1383.09,118123
116,1147.32,120367
184,2070.95,215844
98,972.808,99799
94,830.537,84246
148,1582.96,164632
124,1380.12,149404
82,756.201,79800
96,1010.63,106324
114,1144.38,119551
108,1119.52,113171
146,1531.58,159537
130,1242.53,132606
112,1217.5,124093
82,790.057,82804
126,1304.27,143716
116,1089.38,109692
100,962.44,98734
130,1517.64,154062
192,1823.17,191389
90,870.508,88155
108,954.535,103063
76,696.415,73031
148,1311.98,133741
114,1053.57,107514
116,1108.18,117052
92,925.124,94188
94,838.96,89803
106,1065.69,107950
104,1029.1,104651
124,1163.26,120557
100,992.804,101547
82,716.598,76135
102,1011.57,102538
132,1306.44,138490
90,820.129,82165
116,1141.37,119401
144,1278.13,136177
140,1342.4,138026
120,1205.76,129609
100,885.493,91908
108,1104.41,110009
132,1271.26,132730
126,1421.63,151344
113,1094.98,117165
136,1270.3,135733
96,819.068,82808
138,1361.81,144870
94,1001.85,104154
136,1418.81,146902
106,1022.01,112853
158,1551.99,168281
114,1255.08,133368
164,1763.59,180437
98,935.734,97724
94,948.05,100322
104,974.641,101894
140,1450.83,147243
86,744.651,80627
104,1059.31,111562
82,857.24,96820
114,1074.83,111538
140,1371.08,144297
84,839.306,88045
92,884.9,88125
92,861.301,90475
174,1794.53,188521
132,1209.54,126518
154,1606.27,163987
72,673.39,70851
102,970.065,101128
182,1735.29,170302
80,711.514,73509
146,1363.79,137282
94,889.653,90363
96,858.421,87911
104,1042.06,108185
120,1231.57,126616
124,1119.95,111904
98,925.661,96564
84,730.451,77344
146,1418.51,143493
84,711.025,74521
96,1010.36,111222
86,931.405,98601
122,1121.76,123059
176,1931.93,199946
104,1064.89,112010
134,1457.12,151811
182,1667.84,160609
138,1359.88,150416
98,950.912,98638
118,1157.28,111901
104,924.974,98851
88,942.059,95506
96,889.292,90198
98,892.051,94096
110,1119.38,111757
132,1188.21,121770
84,799.445,85321
140,1461.79,149362
106,1055.27,109396
118,1148.62,114727
94,948.511,101634
90,858.353,85214
70,654.998,69411
146,1496.94,154787
120,1208.01,127020
94,926.628,93532
96,969.942,100256
156,1478.68,160286
74,740.08,78315
134,1310.27,131566
120,1122.29,113293
96,1019.97,100508
136,1373.37,138588
84,819.454,88535
134,1418.81,150473
134,1386.85,143611
104,1042.69,105256
94,886.789,93156
108,1149.3,117118
90,842.52,89530
125,1356.38,130266
84,849.549,87447
86,850.764,87142
82,740.593,79069
68,667.333,68412
1000,28828.3,573558
80,832.791,86510
124,1335.38,134705
144,1580.66,165744
96,999.238,103912
104,1026.43,101229
88,795.026,81349
146,1559.58,164021
120,1148.56,123328
150,1487.93,151522
134,1344.46,144912
78,714.995,77296
92,853.913,87882
132,1134.57,115187
235,2691.07,228434
96,1078.46,113539
122,1117.59,119486
140,1461.22,148595
154,1650.78,174019
76,721.064,76792
172,1590.24,167765
106,1155.63,117161
114,1024.48,110637
150,1454.63,150281
116,1153.62,120135
144,1346.44,140091
146,1580.4,156720
108,1021.83,101635
96,921.095,97100
96,929.032,98149
110,986.125,98203
102,1032.59,104853
108,1112.2,112580
140,1385.69,143636
124,1179.16,122397
94,876.137,91776
158,1521.6,156931
124,1178.53,121009
142,1403.68,142368
138,1341.77,137131
88,1007.28,106758
94,957.307,102521
134,1434.4,144831
152,1775.69,173299
104,1060.43,109221
114,1007.83,111242
80,776.766,82578
88,752.211,80105
136,1320.65,135276
122,1210.96,129051
92,857.442,91451
138,1421.99,143568
94,876.016,91085
86,860.385,88951
96,954.623,99703
102,1026.38,110263
130,1211.77,124308
110,1146.46,121891
86,894.599,90991
104,1120.34,116931
102,925.446,97366
124,1257.73,133228
100,1085.81,111560
88,966.231,101661
112,1110.14,114125
126,1335.92,142968
158,1524.14,151095
100,944.92,96890
70,721.294,77629
98,972.07,103324
98,915.766,93205
180,1949.7,191424
116,1129.57,119011
84,843.478,88112
110,1132.02,118535
102,1012.33,109515
156,1455.23,139118
86,845.895,91541
130,1386.48,144892
82,830.485,86763
98,909.75,93949
184,1870.43,177855
114,1038.12,107110
90,865.892,87089
116,1192.67,126620
84,871.868,89718
84,836.504,86003
114,1122.09,118809
164,1730.77,173980
106,1172.07,118127
198,1919.15,206429
86,976.862,103955
104,1117.7,117009
104,1006.77,104775
188,1861.29,191439
126,1210.28,124781
98,882.974,91007
108,1106.76,116790
90,753.576,77273
122,1277.24,132212
100,1068.62,107919
126,1276.11,137357
82,789.248,83196
82,761.212,81479
94,839.628,86654
104,907.892,94974
98,948.3,97941
108,1264.07,129778
140,1418.37,145406
124,1250.48,130238
98,909.524,95649
128,1338.67,141778
102,1032.98,111073
120,1244.05,124787
78,677.845,71050
118,1083.38,108460
180,1898.98,191998
76,687.087,70017
94,1055.37,112507
102,1009.76,104481
70,710.799,73462
144,1562.66,167984
110,1218.63,127856
104,1124.55,120008
120,1167.28,116209
98,1025.25,108472
112,1084,117299
104,1017.42,105276
120,1223.75,129523
88,965.132,100158
78,856.811,86229
118,1139.3,113363
116,1074.93,110586
148,1517.69,155092
80,815.638,83488
196,1857.52,188775
94,938.428,98174
108,1052.1,110803
919,10805.6,903081
122,1157.39,126329
126,1420.31,152182
160,1659.23,179423
124,1075.44,115338
98,926.29,100973
102,898.155,94111
130,1299.46,145485
96,964.534,101854
116,1272.24,133195
96,1029.91,112444
94,888.614,94746
84,750.271,77685
94,973.626,103419
150,1535.72,161734
120,1245.02,129554
104,1003.91,100904
98,886.273,91366
88,930.157,99645
108,1131.33,120891
102,1000.11,95568
78,863.469,90283
158,1791.07,194484
88,863.248,88321
128,1315.86,138382
108,1160.59,119375
130,1279,130396
86,851.199,88039
120,1304.85,131422
110,1037.54,106685
114,1151.69,121517
100,1027.68,109620
126,1308.05,133149
132,1167.4,121410
120,1312.75,138735
94,1041.59,110024
138,1293.82,135925
130,1295.9,131600
92,904.9,94720
104,915.812,95493
108,967.842,104051
74,724.393,76814
108,1060.73,116764
94,833.58,85179
86,892.783,95101
120,1297.62,128024
118,1370.87,136663
