score,computational_cost,nb_calls
192,4189.64,452410
102,2243.11,245853
116,2531.84,278701
94,2112.09,221331
116,2548.56,277455
84,1865.28,201862
122,2672.68,299384
74,1649.28,179660
130,2824.47,303863
148,3279.54,350133
151,3274.89,350877
108,2373.59,260762
136,2992.74,331320
140,3053.81,324088
608,13570.6,1.355e+06
124,2767.45,287221
116,2557.46,269591
136,3010.64,334924
132,2895.39,307858
108,2354.15,261412
120,2665.62,289482
114,2500.88,270559
136,3008.26,324357
94,2071.67,224923
188,4159.94,434346
184,4034.54,441720
120,2609.98,296045
150,3260.1,349900
90,1957.3,220300
104,2264.88,250192
152,3353.15,371675
94,2060.33,225636
96,2073.99,229712
184,4044.66,453461
164,3565.85,399535
142,3105.72,345274
108,2353.19,259036
136,2953.01,330630
120,2605.08,285720
144,3156.18,333216
146,3202.18,347235
142,3113.14,343910
132,2883.14,319139
168,3786.83,379238
82,1806.64,198186
112,2409.24,273175
156,3455.87,369997
110,2403.75,269677
152,3371.53,363938
108,2372.78,253591
98,2125.87,239684
166,3636.61,394422
142,3121.1,334831
88,1958.06,207201
146,3176.11,355745
130,2822.98,304245
132,2853.06,306853
132,2916.44,304599
82,1789.9,195870
166,3626.93,395760
112,2470.94,268923
92,2035.68,218101
148,3257.03,342484
156,3424.02,375086
108,2395.82,255582
128,2811.23,311172
94,2056.07,226622
160,3485.21,391762
78,1716.9,185593
74,1627.92,177570
156,3443.7,366700
184,4025.01,440092
148,3246.01,351722
236,5128.84,550098
152,3308.91,359992
94,2051.64,222493
218,4816.08,515656
124,2710.34,293056
140,3098.85,335757
168,3593.41,400960
102,2234.04,251846
114,2478.04,280601
104,2268.38,254456
146,3239.08,339051
96,2091.23,225658
82,1794.4,199040
94,2046.2,225082
156,3411.54,371395
102,2222.17,237296
78,1695.31,186334
432,9567.69,985614
214,4678.6,499364
154,3381.07,362509
122,2686.49,290871
98,2096.89,240204
106,2321.62,255690
92,2002.22,219875
100,2200.08,246051
128,2788.94,303552
110,2435.33,259555
122,2693.45,289487
102,2253.56,241934
118,2529.97,281815
142,3083.49,335977
188,4102.63,438153
150,3227.36,367113
186,4028.63,447913
136,2968.9,323333
98,2156.62,231930
82,1817.83,194358
74,1632.08,176316
106,2321.25,250141
130,2833.91,302513
142,3134.33,335362
150,3246.43,366748
110,2386.64,264281
100,2196.51,236753
102,2183.14,255711
114,2533.02,267537
104,2296.22,246838
163,3561.32,396040
142,3111.12,341697
126,2747.51,300527
88,1947.81,209999
158,3465.55,378589
126,2743.43,290425
136,2937.84,327180
104,2288.03,250122
116,2540.43,270078
114,2498.77,264123
150,3253,355793
96,2077.82,231825
138,2998.42,330373
126,2724.72,316901
98,2147.07,240561
94,2070.23,220383
168,3677.8,403479
108,2406.34,260252
120,2644.28,283612
144,3199.99,331069
124,2772.48,289571
232,5068.51,538462
120,2637.04,283067
120,2674.76,287164
96,2174.3,227448
168,3685.44,411247
126,2771.96,300796
136,2947.56,328465
102,2211.46,241655
116,2548.91,279701
134,2926.32,318836
106,2325.05,244677
126,2754.72,311253
144,3163.69,341544
82,1800.81,198455
120,2641.67,282822
110,2391.87,258257
120,2631.35,286621
120,2603.95,288626
116,2498.83,279092
146,3202.79,357169
364,8086.36,841947
126,2757.09,292785
80,1776.02,192052
96,2095.03,234169
130,2805.3,318712
102,2268.5,238365
86,1881.68,210863
104,2258.92,257028
96,2071.5,228973
150,3269.03,362050
144,3160.61,338798
86,1891.68,207084
206,4482.27,508314
124,2720.9,303117
152,3322.7,356746
168,3704.05,390855
182,3969.47,432318
146,3152.64,349936
150,3301.44,342895
136,2962.86,326576
246,5273.52,581996
168,3680.8,403958
110,2366.72,261539
84,1847.56,201544
84,1831.44,201141
120,2618.96,278779
172,3769.34,404882
102,2222.85,242929
106,2331,261175
124,2730.74,294062
90,1976.25,215292
105,2313.21,265487
144,3101.05,345565
114,2552.97,272486
88,1961.22,209541
110,2427.37,257849
188,4075.53,455425
104,2277.05,249218
118,2552.68,285035
142,3067.8,337173
