score,computational_cost,nb_calls
717,3309.91,697372
646,3185.47,625192
624,2874.02,575954
638,2929.28,590866
1000,5451.44,999029
1000,4822.14,953476
516,2333.69,488295
506,2264.01,454505
835,3965.29,778843
544,2463.65,495774
520,2284.84,477306
601,2963.21,605284
697,3273.06,667639
1000,5078.63,996382
568,2653.97,500414
460,2107.51,437231
649,3111.8,605122
975,5085.43,980424
361,1669.08,334268
908,4284.82,843184
399,1748.69,351776
412,1880.98,388548
494,2198,431569
342,1450.76,300811
1000,5078.03,1.01509e+06
625,2721.17,577362
463,2352.43,449718
291,1209.99,252564
418,1836.34,361073
244,997.626,199546
640,2996.67,587989
737,3393.88,660495
472,2221.96,441031
279,1224.93,237497
370,1609.13,335426
885,4122.88,842022
798,4330.11,780744
531,2440.74,468268
697,3371.98,665878
380,1587.16,334075
722,3397.08,640570
673,3106.85,622947
668,2989.64,574662
1000,5353.02,977184
665,3054.99,626642
737,3524.16,708872
394,1714.04,340644
292,1213.99,236597
371,1514.5,299789
525,2340.55,469813
811,4032.19,777731
644,3407.97,640538
616,3097.01,570398
661,2978.37,616934
625,3238.22,623240
576,2671.45,525259
1000,5641.11,954569
512,2494.45,484499
1000,5209.88,1.02483e+06
1000,8152.19,1.0374e+06
380,1764.61,346838
622,2960.68,583515
1000,5499.95,956326
592,2846.31,552087
420,1983.25,379977
398,1736.17,350633
620,2748.09,558361
512,2329.56,439387
1000,5276.53,984927
468,2103.14,429852
1000,5126.03,1.03815e+06
715,3287.9,672448
388,1690.96,352938
546,2546.66,486499
1000,4717.82,952333
710,3551.14,699975
946,4631.83,937125
568,2793.64,547539
1000,4590.66,940366
504,2154.31,433805
712,3579.17,713474
585,2842.74,551459
739,3600.77,684688
701,3561.41,662991
1000,5426.41,1.03789e+06
1000,5592.12,1.04612e+06
373,1725.06,351846
462,2129.17,427738
869,4711.07,892845
506,2295.04,433938
1000,5237.58,999040
582,2733.04,520483
392,1818.91,352937
578,2538.33,488131
453,2130,417628
730,3429.97,666262
652,2690.4,553730
1000,5073.84,1.01078e+06
370,1576.88,326838
700,3652.55,683343
572,2559.94,486857
823,4095.03,771841
772,4146.84,739239
598,2909.41,561412
538,2338.77,466254
