score,computational_cost,nb_calls
144,1890.12,203960
166,2652.22,280366
158,2106.36,238687
164,2373.45,240115
180,2311.34,241755
102,1673.73,177800
126,1755.27,196735
160,2401.99,251003
216,3141.2,352513
104,1575.45,172715
136,1985.68,213402
124,1751.13,192625
108,1574.78,168364
171,2504.06,265881
120,1693.33,188223
116,1838.42,174321
156,2108.51,229596
136,1722.84,188982
98,1418.22,150854
82,1326.8,145743
182,2525.2,289295
148,2136.73,234232
156,2242.5,237112
126,1865.87,198899
166,2507.18,271009
144,2038.72,220038
120,1695.69,178409
114,1821.01,191585
136,2271.33,234823
90,1361.98,145081
124,1683.73,177442
178,2472.58,259557
156,1964.99,219002
196,2825.99,282900
148,2140.65,233736
136,1979.47,216779
148,2175.76,236575
197,2723.37,299581
104,1405.15,151131
146,2046.42,218092
132,1830.51,195908
114,1514.76,167713
160,2040.35,215333
136,2017.19,216576
248,3426.18,391640
152,1834.8,245433
260,3164.62,399214
124,1473.03,196868
98,1229.27,155938
116,1267.68,170048
150,1968.02,260243
156,1851.29,244884
138,1828.64,246675
126,1367.46,172021
114,1323.45,166537
106,1302.71,167036
160,1896.17,233768
84,1034.83,133376
110,1395.08,189170
94,1138.72,144376
120,1429.95,185523
150,1775.35,232157
114,1471.24,192224
206,2409.6,312395
164,1883.83,243079
102,1224.95,154301
168,1850.38,241177
108,1344.89,172535
130,1550.96,206385
162,2105.51,271719
156,1939.52,243779
156,1822.66,228008
144,1807.11,241843
114,1300.49,167735
186,2245.45,292539
106,1190.23,151711
172,1985.89,265190
140,1640.74,214291
96,1172.07,152498
172,2033.24,262116
126,1582.57,201406
84,1049.58,132804
106,1364.3,172327
192,2406.75,310579
112,1496.42,196702
108,1344.95,173786
90,1150.25,148585
140,1801.54,230890
168,1979.74,249237
112,1331.1,176266
100,1235.62,164756
128,1498.18,195656
146,1946.75,249221
179,2059.56,272416
140,1507.54,192933
164,2138.39,278984
170,1989.11,261684
130,1542.79,203285
156,2030.74,267256
172,2128.67,274344
86,1029.47,138089
132,1569.83,196369
118,1436.53,184411
106,1185.9,152584
82,1010.04,131929
168,1870.65,242020
146,1759.3,237207
82,894.263,118211
116,1306.9,167568
180,1808.11,226319
203,2439.12,332797
112,1468.75,198308
122,1399.91,180495
104,1320.13,170043
158,1737.73,224842
158,1942.47,241542
100,1272.02,167184
174,1978.31,248441
166,2139.19,279167
201,2352.69,303805
134,1484.3,193152
104,1404.15,157430
100,1510.05,163465
156,2089.2,228854
130,1805.9,199935
100,1197.53,152811
132,1565.74,215874
94,1092.42,144822
130,1585.42,201110
142,1490.35,193927
114,1390.05,175231
709,8406.54,1.00577e+06
154,1878.39,237889
239,2936.52,377940
