score,computational_cost,nb_calls
100,406.262,48673
84,386.388,45944
92,420.148,49164
120,514.277,61877
106,536.668,63346
88,437.943,54257
100,475.291,57089
102,497.429,60109
120,603.718,70717
124,595.689,74349
130,600.81,70719
168,866.547,103596
136,633.214,80737
128,589.251,66832
108,447.224,54068
92,439.382,53444
102,435.061,53715
82,367.62,43950
104,516.861,63272
108,470.415,55834
86,360.411,41062
86,420.983,51108
138,645.942,77910
172,953.229,115792
94,464.346,55576
96,442.56,54573
82,366.166,45604
138,650.993,78462
166,859.456,94413
76,351.21,41231
112,537.513,66261
116,506.919,60279
90,417.043,50553
114,532.454,64650
118,551.815,66216
124,597.631,72078
102,497.39,60495
100,432.062,53995
280,1508.94,178704
104,466.567,56642
132,579.051,69791
90,384.114,47199
180,1109.84,96989
96,454.985,55767
100,461.349,49722
98,444.559,52988
194,1066.99,120881
124,620.857,78332
102,440.348,54605
1000,15405.9,366609
76,325.378,39974
98,431.586,51067
105,521.235,63015
112,549.741,61421
98,457.68,52591
100,445.505,52485
110,550.989,61751
94,469.467,50895
108,504.297,60959
152,780.676,93005
116,534.006,61601
132,625.238,79531
134,660.262,78975
102,476.354,58440
102,456.716,58480
96,428.483,51058
108,482.308,58690
84,388.976,46639
116,533.56,62558
180,950.878,103686
130,570.297,69313
294,1691.63,200826
136,704.495,80646
90,374.721,45565
92,414.017,49214
138,641.555,76895
110,567.331,69019
106,457.372,57464
106,438.241,53127
114,517.957,63248
128,602.991,74624
96,411.154,50141
94,392.298,47753
96,463.524,55081
108,509.996,61434
96,367.652,45473
88,396.309,48657
130,582.495,67259
122,636.327,69040
134,690.881,81159
90,403.712,47865
114,479.584,59188
84,403.648,43625
134,766.274,76960
94,565.387,55928
98,503.203,51265
92,571.444,54770
116,620.736,61744
106,552.789,54265
100,541.561,56218
88,484.695,47006
104,508.616,51890
100,521.721,54874
110,585.401,59307
108,597.615,56706
88,452.57,47264
88,477.006,50001
90,469.538,50021
96,491.177,48176
92,483.918,48776
106,592.646,59302
126,696.063,71663
110,592.442,59824
90,467.399,45848
88,460.003,46438
122,621.673,61087
145,850.266,83262
92,510.581,49947
96,541.591,55821
90,420.926,43156
146,865.948,89458
134,800.02,82808
82,452.449,45634
108,570.754,54820
94,521.293,52147
140,788.395,75744
70,348.331,35547
102,546.701,52275
94,523.266,53512
112,590.293,60782
88,506.761,50614
122,661.207,71343
96,509.742,51127
84,454.086,44161
76,386.182,39175
98,533.209,51450
92,503.443,49257
92,501.684,49516
110,643.455,63182
114,684.526,72204
88,453.441,46854
96,522.378,53523
126,647.075,66208
106,572.746,57498
96,488.897,48699
191,1242.13,111909
96,455.594,48277
120,636.424,66294
134,765.178,77119
86,495.023,52343
90,501.379,50360
104,634.793,64560
90,486.579,47483
106,609.843,59438
110,584.867,58466
100,503.377,51067
130,699.115,70222
106,528.673,54068
96,464.095,47074
96,529.251,55333
110,615.323,60114
106,506.532,52552
84,412.923,42877
106,541.882,55781
102,529.072,54366
160,927.823,86335
84,450.829,47361
110,607.414,61747
114,574.268,60385
86,409.21,42908
110,557.338,53641
70,411.961,41091
120,673.379,68606
94,487.601,48257
94,528.331,53615
80,412.305,43148
136,749.068,73640
98,501.115,53034
116,681.573,68677
108,611.792,61043
88,488.219,48894
88,459.259,46811
90,483.613,48440
160,993.644,100622
108,528.478,52928
96,525.75,53986
184,1183.61,122675
96,522.135,51447
142,761.347,82271
112,577.698,58776
74,414.61,42217
104,540.298,53216
146,869.912,86816
102,557.187,57528
130,696.809,71732
92,488.915,49488
96,535.798,51650
106,527.758,53681
138,880.294,84331
110,617.336,61801
166,1061.81,106862
92,532.513,53939
100,508.372,50185
112,638.027,66487
70,354.211,35964
94,484.342,48624
130,686.088,68965
104,544.997,57579
96,461.051,47912
116,595.19,59878
122,632.46,66173
108,642.501,64907
104,575.679,59601
82,442.424,44634
78,413.901,41767
86,412.676,41209
102,444.496,50134
142,699.228,84305
114,494.139,60175
302,1753.89,186685
98,434.881,54091
100,440.41,53294
112,540.051,63931
72,350.042,41111
110,540.987,64622
110,477.672,58630
120,548.315,66108
122,609.447,68937
144,759.265,82906
94,474.586,56237
86,384.15,46779
80,343.207,41763
452,5941.44,200473
90,398.492,46290
164,810.975,95965
116,528.686,64882
174,828.13,98661
112,546.068,65652
82,344.165,42149
84,369.734,44409
120,503.324,59813
90,458.551,56113
86,434.785,48946
108,536.791,61783
76,368.9,43605
116,489.945,58683
112,484.355,59069
152,842.945,99061
124,578.825,68063
185,1056.4,104318
94,425.628,52759
280,1717.97,181341
108,429.997,51537
74,311.546,37122
98,476.089,53401
102,430.492,51340
158,796.134,94408
96,423.412,50158
94,421.908,53272
108,481.542,59188
84,353.795,41871
116,584.278,66007
162,796.066,90532
106,463.328,56880
118,533.972,64637
96,414.816,48339
102,439.648,54769
116,547.487,66520
96,471.587,49624
96,392.346,47942
102,476.317,58645
226,1312.93,148402
104,502.446,59876
106,458.899,55676
100,453.46,55266
120,566.685,66718
84,354.541,42357
120,541.475,66287
110,505.764,58246
106,500.97,60385
128,541.48,63270
110,530.882,65029
110,501.467,60822
106,499.273,61445
92,411.241,49278
183,1086.47,109712
98,459.437,55742
110,498.469,59800
92,394.826,45941
105,477.207,57209
100,422.645,51538
100,426.676,52890
86,345.543,43528
80,361.512,44056
172,877.88,92979
164,824.391,94772
106,499.203,57086
110,467.069,56129
88,386.871,47985
108,490.427,58251
100,480.715,58169
118,554.894,69716
104,505.836,57291
112,524.737,62803
154,790.357,94803
108,482.637,57746
138,733.465,72229
92,391.223,45820
82,332.899,40216
112,514.887,56122
110,539.742,64423
116,559.745,64341
80,374.046,43524
80,353.907,42134
118,589.898,68890
110,537.973,64764
96,398.671,50210
116,510.203,63272
78,370.769,44811
108,494.555,61893
116,510.782,60750
104,454.746,55715
100,400.661,50429
102,443.645,58138
118,521.27,61089
112,556.667,62942
108,463.628,54941
108,482.234,57777
130,643.003,76413
104,424.884,51403
104,490.019,61318
106,462.038,56006
82,348.756,43169
82,386.317,46778
84,394.059,45030
92,399.728,50229
154,828.03,93379
120,563.648,67644
92,405.963,46643
96,408.948,51181
128,617.627,73686
1000,16587.8,333574
206,1112.72,123522
90,397.656,45916
90,423.712,50154
94,464.157,52993
76,347.345,41838
84,354.502,41305
116,574.024,69694
106,483.638,57797
86,415.127,49164
124,576.32,72153
80,312.592,37360
86,370.155,43737
120,584.068,69398
96,406.231,49082
142,725.217,82776
84,367.08,44602
90,446.165,52441
96,459.774,55882
96,498.138,60735
134,672.38,76694
120,592.727,69307
112,537.81,63984
128,617.451,72775
76,372.733,40079
92,381.432,44770
116,520.551,62861
118,534.325,64175
128,662.958,80675
88,389.042,46427
78,314.896,38341
110,482.739,56983
98,462.082,55928
104,451.384,53495
106,477.535,57610
104,508.755,62714
116,633.133,67893
96,447.916,52001
84,400.306,49025
110,497.442,60221
94,442.725,53741
78,349.121,42998
64,293.633,35544
114,463.525,55343
90,418.305,48088
94,418.657,48087
136,658.043,75803
96,389.237,46145
116,580.174,69678
106,472.647,58787
86,406.648,48189
92,356.987,42999
110,490.337,60480
88,373.112,44903
96,416.506,49690
100,456.496,53825
104,499.246,56615
86,410.015,48212
78,376.881,45225
82,391.161,45591
112,491.311,56385
94,421.134,50783
100,484.075,59033
112,558.099,63410
249,1360.94,168475
64,295.205,35289
114,505.138,61014
214,1148.18,132884
126,615.66,73050
106,569.807,67537
68,335.441,39811
104,492.981,56931
106,466.233,56367
116,505.447,59723
90,382.515,47381
100,475.891,59423
104,492.642,58703
86,385.989,47089
90,402.511,49594
98,426.712,51506
102,480.091,57781
108,512.1,60897
120,623.608,71917
88,421.058,51664
96,372.641,45326
112,494.897,61118
92,407.301,50056
78,368.994,44822
86,369.409,45773
94,449.021,52138
96,448.272,53501
76,354.556,41744
106,458.576,54929
118,558.433,64282
112,527.544,65172
130,581.318,70317
84,338.59,39642
156,737.169,89748
102,464.575,54977
188,982.323,109538
114,590.712,72035
88,387.12,46275
116,531.432,61996
102,472.932,56193
78,354.277,40396
94,470.546,54122
136,646.166,80433
90,413.915,48699
102,482.475,56673
84,351.265,44270
82,408.451,48133
96,485.297,58049
98,407.498,49518
156,789.468,92913
110,499.298,60179
84,371.543,44172
90,407.422,48573
78,335.17,38499
120,532.452,63811
108,477.105,58092
92,414.613,48446
100,502.248,59421
122,573.18,70977
108,431.033,51726
120,519.004,57984
86,385.416,47325
100,415.699,49813
100,431.921,51848
94,391.138,46772
134,556.049,72142
116,504.389,58241
106,511.474,59300
110,517.846,63065
134,624.048,74832
114,569.612,67021
86,388.667,46799
126,533.929,65794
138,653.863,80231
96,403.301,49462
161,791.062,96697
110,567.483,67612
110,523.576,64342
90,427.111,51332
122,577.201,69133
92,444.858,53169
92,443.436,52875
88,405.297,50273
98,441.565,54628
100,415.231,49360
130,548.802,66802
96,456.277,52450
84,375.527,43267
98,413.368,48694
116,542.03,65142
114,583.491,71338
84,381.574,47514
104,428.232,51809
162,803.425,93784
74,330.198,40084
84,379.656,43977
82,416.705,48871
88,434.235,50998
94,428.697,50558
96,402.911,49377
96,410.09,49856
126,602.587,69998
106,509.826,59378
98,433.232,51448
106,463.834,57427
102,468.881,56682
142,732.998,85258
94,368.512,44796
96,438.038,50070
82,369.576,43562
112,526.318,61373
124,650.853,76320
96,402.475,48774
94,380.383,44481
92,431.234,50942
526,3323.57,326254
101,435.071,51747
104,465.707,57651
114,506.509,63449
100,434.776,50692
100,431.92,49994
132,646.572,74730
116,559.658,64634
98,436.774,53921
80,317.988,38091
102,451.647,53535
98,429.834,51525
132,613.485,75519
96,430.618,48553
118,541.468,66454
112,464.598,56767
74,292.15,35242
98,462.033,55260
100,447.13,52514
98,417.012,50831
100,444.052,53311
94,405.84,49065
86,381.957,48017
118,489.874,60143
102,422.177,51330
88,389.878,45450
120,625.579,78000
106,461.948,56637
102,467.267,53535
90,442.428,50591
82,401.689,45022
100,491.544,56972
96,393.245,46415
78,313.662,37948
90,427.342,51375
110,489.139,62420
94,436.861,51594
150,804.209,93227
100,446.323,54001
114,527.451,67062
142,770.58,85690
100,414.933,50453
126,636.817,74008
108,470.383,57173
96,431.197,49226
170,910.201,105805
202,1041.6,120513
100,451.254,54135
82,336.008,39899
94,425.095,50948
90,442.468,53782
799,9292.8,389508
124,532.741,64036
86,371.564,45531
110,463.321,55338
136,655.745,74242
84,350.551,43701
110,481.796,60668
100,467.481,50443
98,473.51,57511
106,484.67,51443
90,374.034,44421
104,444.688,53670
124,536.253,63981
104,453.274,56380
82,350.488,42884
106,556.374,60713
100,469.687,54511
100,459.368,56800
116,557.503,63683
110,546.581,62969
84,388.617,47880
84,372.966,44231
84,387.769,46455
120,562.643,66667
102,497.932,58392
130,619.865,72841
186,1015.29,117540
132,605.137,71341
98,481.906,59040
110,571.432,59862
72,330.451,40206
94,433.863,50659
112,539.312,64081
100,433.758,54827
94,390.113,46897
118,541.408,62435
210,1217.76,135171
100,480.118,56365
114,619.044,68240
96,461.25,54049
84,382.142,43972
126,671.215,73838
104,447.558,53084
102,450.846,53389
104,462.44,54862
92,393.658,46101
108,504.961,59655
116,502.711,59161
112,536.502,63437
90,386.173,46759
108,481.794,58023
82,373.407,44931
84,351.685,43053
88,384.68,46726
86,364.548,44362
120,578.266,68006
122,592.578,72321
72,377.791,42464
86,383.07,44974
134,727.966,85770
96,416.744,49563
106,468.744,53839
94,448.021,53412
146,739.649,88887
120,561.23,66711
90,410.983,49930
122,591.887,66962
102,474.941,53915
128,646.591,72843
92,482.419,57568
72,333.848,39135
104,479.696,57711
100,486.439,57365
94,425.959,52431
100,425.047,50963
120,608.987,71573
88,392.338,45620
116,576.555,67012
102,464.69,53076
92,390.119,46425
86,353.172,42516
84,374.36,44350
86,453.628,52684
124,617.973,74947
96,409.53,49582
108,502.611,57007
126,586.871,69947
96,437.054,51556
160,790.092,97939
98,462.186,55206
104,450.454,53383
156,1002.82,93126
118,604.195,69456
192,1006.18,118991
174,868.626,103282
554,4573.95,337791
100,412.733,49613
102,456.726,53549
92,414.811,48437
106,492.575,57087
88,353.758,43431
100,453.275,53816
326,1948.73,209908
310,1933.77,193992
130,592.74,72706
92,406.856,48410
80,369.158,43882
104,516.429,60787
130,618.712,74660
100,425.611,50549
146,644.788,75179
86,367.401,45165
140,698.141,80209
130,594.764,70521
76,380.469,46614
76,311.905,38638
88,356.041,42930
393,2288.14,269689
92,444.059,52901
104,476.632,55814
102,498.254,58880
72,337.927,38401
114,496.261,59633
98,459.585,53394
98,462.382,56493
112,535.263,62960
82,406.175,48119
100,421.981,51058
130,597.964,69707
88,420.318,51236
94,445.898,52467
112,532.588,61469
98,438.636,53828
100,420.672,48345
88,418.054,52218
116,542.527,66148
92,383.232,47676
90,431.345,50678
204,1106.62,123745
86,393.641,46836
78,361.514,41225
148,733.54,88358
96,395.309,45950
100,474.587,54459
98,458.103,56093
138,715.864,81066
92,408.795,48845
114,482.195,56393
118,615.888,72647
94,407.47,50409
100,428.807,52087
92,396.264,46412
110,530.618,59462
100,558.326,62579
124,557,67635
140,710.645,83541
126,601.068,68967
84,420.082,41864
100,446.339,52518
96,414.138,50228
122,600.597,71880
96,479.044,55225
106,485.461,58921
76,352.55,41254
158,839.033,93900
110,474.151,56674
104,480.282,57146
214,1156.72,132928
78,371.834,43305
102,445.094,54532
90,430.304,50146
228,1251.41,149232
118,545.187,67539
112,535.035,64494
132,652.806,78787
172,906.335,99817
100,434.46,51135
82,437.206,48447
116,534.827,65080
104,447.42,53012
94,369.416,45718
96,425.524,49759
100,440.454,53328
106,476.606,57500
104,491.404,56608
124,560.638,71621
76,351.976,40771
84,385.045,47708
84,372.241,44825
114,509.949,64724
230,1346.38,148393
88,425.576,50335
110,548.256,63724
118,560.103,68026
114,535.215,65803
118,575.722,65794
104,463.658,52472
114,495.672,59735
118,597.142,67351
108,532.257,60987
178,974.029,113954
108,473.864,56304
98,477.016,55276
206,1132.94,125432
138,611.412,73789
138,669.837,78027
100,445.54,52464
114,504.431,59358
132,609.217,71512
124,641.746,74638
96,428.626,52095
122,558.598,66696
88,387.598,46756
94,440.676,53496
108,510.389,62282
104,476.725,58045
118,482.81,58505
110,545.527,67928
104,474.097,57017
100,444.141,52808
220,1125.21,133391
96,411.497,47559
118,543.022,65132
162,846.556,100020
88,409.544,47447
114,518.379,65969
108,495.687,56942
124,588.979,68199
88,383.547,47237
94,405.559,49770
78,309.937,38993
88,428.615,50951
124,571.058,66646
70,313.655,37152
114,546.018,66737
117,591.379,69732
86,426.895,49937
126,608.271,69896
86,352.896,42434
82,389.419,46634
142,743.315,85938
298,1702.46,183849
88,356.957,41463
88,405.953,47332
110,506.996,61392
184,988.657,104448
82,391.922,46474
120,548.254,67449
80,352.121,42157
92,417.519,50589
112,526.864,64447
195,1459.25,102192
84,387.967,45175
104,435.331,54002
110,479.213,56094
205,1171.87,128633
78,368.89,43789
299,1719.1,182687
110,500.541,61573
76,345.728,42534
135,638.431,74883
108,476.443,59194
96,389.707,47645
92,436.08,51410
100,451.877,55634
96,404.13,49879
100,437.059,54895
104,481.106,55211
104,480.929,55271
82,404.696,45410
108,466.566,54388
108,422.81,49705
102,454.921,58117
163,1392.05,77963
112,531.2,61761
80,388.318,46358
108,469.647,58178
88,383.841,46933
110,511.38,59880
92,424.25,51178
130,600.097,70436
106,508.764,61788
99,463.815,55066
122,643.249,75200
106,481.256,59821
74,330.21,39029
142,691.538,80890
259,1584.94,161552
82,358.051,41591
98,462.564,55628
92,438.016,51152
98,443.935,54543
94,389.728,48369
124,574.19,69907
96,448.301,52678
106,498.011,60193
94,399.24,46506
152,732.838,88364
136,647.317,76414
128,611.408,74068
86,351.869,42140
96,482.037,60711
92,395.408,47813
132,582.241,69729
128,553.879,66637
92,399.365,50069
92,426.803,51749
76,296.048,36232
108,502.244,58517
86,351.769,41676
136,623.288,72628
94,388.497,48123
90,436.262,50232
164,825.884,96476
126,656.168,67758
84,374.859,44835
98,444.676,54863
92,407.052,48402
124,621.279,73241
90,410.993,49570
94,429.698,55319
94,445.719,52007
110,547.339,64324
105,499.966,51550
92,427.465,50247
102,432.919,54176
86,371.064,45203
142,657.771,77641
86,367.674,44742
124,597.371,72146
100,437.72,50889
86,410.66,47919
134,710.939,81394
98,499.183,60922
92,480.372,49014
122,577.222,69160
108,470.724,54239
100,462.298,55816
110,534.333,59631
78,320.69,37539
100,470.74,55143
80,382.922,41634
226,1329.61,141102
86,358.846,42861
96,515.442,62869
86,376.546,44560
118,563.116,66196
98,427.289,51337
116,508.812,61995
100,471.159,55340
168,848.367,96142
80,367.326,44495
1000,15196.6,375379
129,590.374,69359
104,533.532,67304
104,486.719,58309
116,554.323,66012
118,533.538,64317
102,461.116,55405
102,438.715,50767
172,907.912,95902
116,565.566,65296
118,514.114,61348
88,392.115,47705
82,336.509,40786
110,469.753,55979
114,527.632,61902
96,419.203,51269
78,379,44613
104,460.254,55934
98,426.506,51547
132,608.777,71623
108,502.391,57744
82,349.126,42810
92,437.092,51099
108,519.794,60612
92,438.464,48319
86,446.482,52486
88,364.193,43209
94,408.443,48890
122,557.697,62243
102,439.84,52295
88,351.395,42384
104,419.301,52149
80,335.371,39848
104,501.702,61683
96,501.869,61006
102,444.75,51561
100,429.646,49242
104,476.794,57845
136,638.564,77295
130,604.981,76373
76,351.171,41059
78,352.501,41646
86,404.408,49104
106,463.374,53110
80,347.6,43386
134,645.051,76028
104,448.169,52604
110,589.962,70127
90,387.661,47938
94,376.641,44615
92,431.701,50259
156,827.165,88205
84,410.905,49111
106,491.527,56462
96,416.385,48456
114,562.254,65757
86,369.634,43872
112,473.913,57378
124,580.599,68613
120,573.549,69545
108,514.612,58363
130,661.32,74495
128,597.888,74927
134,652.843,80782
108,492.893,60758
108,458.963,55589
108,535.377,64911
92,365.538,45569
90,455,51141
94,423.21,46869
110,470.061,56277
116,577.414,66212
90,468.053,54790
208,1056.12,126345
74,348.444,42888
90,389.307,46382
88,405.777,48714
