score,computational_cost,nb_calls
124,554.515,65015
148,679.922,80539
128,574.773,69919
148,679.427,83693
152,715.559,82936
112,395.42,53509
184,889.304,111020
84,370.379,44480
100,378.248,48858
194,888.292,111956
112,523.098,61854
130,576.45,69381
138,668.101,83528
136,600.526,77124
142,614.154,77826
110,468.851,57083
126,589.922,68952
134,594.645,72423
154,711.059,89483
130,546.274,71740
152,653.397,77230
130,567.002,70449
104,443.178,55911
108,453.773,56837
128,527.203,67008
116,455.422,56446
144,629.659,78856
112,491.277,61067
142,604.038,76727
126,557.915,70763
180,831.077,105918
126,532.843,66222
84,347.123,43269
118,543.724,62922
116,510.418,64033
108,504.798,61542
106,432.838,55558
98,383.973,49120
92,385.811,48835
92,408.615,50374
120,501.167,62635
216,1091.37,134311
180,853.916,110422
120,543.674,66249
138,607.14,79469
108,470.231,60463
156,650.658,78462
128,569.233,70759
188,877.466,104523
106,455.881,55593
104,476.991,58725
208,952.211,118936
146,667.012,79200
123,617.013,62338
303,2789.28,149716
96,439.791,54464
170,804.88,99006
104,446.858,57299
116,512.837,67030
142,602.613,72606
128,544.758,70055
138,590.82,70483
122,537.593,67146
134,580.492,70987
130,571.36,69836
110,480.55,58386
130,553.726,69597
142,596.352,76756
168,719.592,90733
110,475.153,59471
132,593.557,71603
140,593.89,74091
405,3293.11,234128
140,591.445,71764
106,439.847,55451
84,367.589,44954
124,595.514,75503
110,477.923,56211
160,713.297,89628
126,549.047,69478
98,436.545,55103
146,654.482,80503
146,643.715,79128
78,349.926,42296
303,1723.63,187323
136,626.069,78308
150,673.841,80513
118,516.858,59691
150,675.196,83274
280,1570.27,167960
108,441.467,54229
144,615.122,73695
102,429.663,56129
118,523.812,64414
204,944.238,110200
118,521.549,61803
142,598.377,71633
222,1236.32,136882
108,462.274,56366
134,594.211,72569
98,405.318,49838
102,455.239,57581
100,421.863,53553
160,716.099,87919
157,735.404,80690
110,496.45,61141
120,482.742,63631
138,576.864,71906
146,620.083,75455
122,482.108,62744
108,452.508,57185
106,430.49,52939
120,488.418,61055
146,619.249,77533
100,420.147,52395
142,643.144,79681
138,604.304,78380
115,544.664,60101
110,471.25,62046
110,458.737,58775
120,519.934,66121
148,673.934,81122
154,735.248,92587
102,450.668,54599
132,538.827,66874
176,808.629,103605
106,462.71,56841
126,566.866,66631
126,527.718,63854
102,498.657,56002
125,592.794,68029
106,436.716,54463
88,381.224,48692
130,539.581,67485
124,553.109,66077
116,461.186,57271
154,732.388,89772
125,550.06,63655
176,771.744,95893
146,669.267,80590
106,444.827,54265
126,549.266,68365
124,510.641,60954
130,566.526,71514
124,544.082,69013
124,536.748,65280
96,419.463,52049
144,661.74,76420
144,705.06,79931
150,647.039,79405
144,643.634,76819
108,478.048,57815
154,684.153,83054
98,452.774,58438
154,680.008,85459
130,576.21,76869
124,540.456,65567
158,649.464,81686
124,528.139,66588
132,554.466,71099
