score,computational_cost,nb_calls
190,3757.05,449841
358,7346.42,855652
126,2599.55,309968
275,5573.97,686842
323,6431.73,808749
223,4599.45,576626
156,3183.14,402720
431,8710.47,1.05573e+06
226,4702.54,584724
198,4174.76,501735
126,2657.97,326372
282,5862.66,695572
228,4816.41,588836
224,4450.96,579257
170,3459.39,430359
174,3628.83,459446
184,3914.54,486106
132,2809.16,340208
188,3912.3,468843
104,2169.55,273714
156,3246.56,387468
188,3977.01,474349
190,3909.91,492714
193,3975.58,494809
232,4718.89,552222
193,4063.49,518947
150,3187.92,376167
174,3570.71,440225
194,4029.68,478068
217,4530.94,555786
322,6717.05,820846
174,3589.74,433202
170,3591.72,440495
209,4273.71,540231
495,10007.8,1.28475e+06
192,3939.19,502176
178,3702.41,463104
374,7567.11,974588
158,3294.62,392743
190,3990.44,491335
180,3766.69,448902
138,2811.51,347649
425,8939.95,1.03757e+06
229,4568.45,559925
176,3675.77,445906
321,6451.05,803806
158,3290.85,415987
246,5087.8,631881
333,6739.09,853973
124,2630.73,321137
140,2917.64,351877
206,4281.3,514512
150,3136.47,377739
423,8655.72,1.03183e+06
194,3951.12,478550
163,3386.85,426601
302,6091.22,727439
186,3718.32,495419
208,4287.34,505414
334,6721.37,834624
172,3618.63,432186
224,4632.48,589022
230,4819.71,562101
282,5881.22,692722
269,5462.81,669171
336,6787.2,782654
294,6040.91,750705
1000,20294.9,2.35412e+06
236,4833.55,580307
318,6471.36,756626
190,3921.28,507951
180,3678.74,424276
156,3154.97,384937
183,3762.69,490688
142,2941.18,381601
192,4069.09,512237
226,4626.61,544619
254,5252.72,642649
184,3843.71,445631
190,3968.52,483349
150,3082.48,382720
229,4685.22,603024
232,4829.09,571604
188,3923.24,468713
164,3435.81,414858
212,4350.34,525635
273,5491.36,697551
335,6789.54,864653
182,3732.4,440664
361,7250.52,894460
180,3811.33,460518
154,3266.92,386236
170,3553.16,424348
254,5352.87,618048
222,4579.37,567367
166,3454.68,425099
112,2346.94,293211
170,3316.16,396310
110,2308.1,286025
1000,20592.8,2.43513e+06
355,6988.88,894714
292,5763.75,720314
178,3622.01,440480
228,4630.94,575077
398,8192.11,960950
130,2770.2,344294
234,4787.16,575625
130,2660.94,327511
234,4912.2,587891
180,3784.87,446425
258,5267.07,628928
289,6046.11,754853
260,5525.39,653568
292,6048.4,731029
172,3560.1,453750
148,3019.94,367869
340,6787.67,875068
168,3537.16,423227
120,2522.5,300577
186,3940.95,475661
266,5502.73,667522
409,8406.31,1.07494e+06
254,5018.85,601859
184,3841,481559
204,4279.91,508314
182,3703.04,459023
124,2613.54,327643
310,6454.51,758933
180,3918.51,454171
251,5138.48,655598
164,3383.92,422589
118,2510.63,317553
216,4537.77,532125
187,3777.43,465249
124,2529.74,307304
142,2870.73,356024
116,2463.73,312601
202,4135.64,503209
298,6242.82,725308
228,4716.78,597540
243,4999.09,633396
272,5612.5,690897
178,3641.5,443517
148,3018.05,366943
370,7506.91,920420
236,4829.35,603902
250,5293.67,641648
493,10220.9,1.20688e+06
739,14694.8,1.79022e+06
224,4586.99,566193
210,4215.11,495379
182,3855.43,472807
244,4949.41,590872
130,2674.32,340987
473,9829.2,1.19453e+06
173,3530.58,450480
149,3124.08,381807
348,7001.88,836752
431,8669.59,1.07324e+06
304,6205.58,765590
214,4382.31,516844
261,4731.82,656499
215,3687.65,554786
238,4050.25,595135
268,4613.53,651139
252,4322.15,661185
387,6460.2,951272
298,4921.02,762494
150,2714.69,392126
168,2847.52,404280
210,3584.24,532741
377,6395.82,975011
502,8716.01,1.28386e+06
243,4191.91,615584
140,2426.66,342177
538,9495.84,1.32968e+06
137,2356.55,361146
128,2233.72,339097
157,2745.34,399210
488,8278.26,1.23317e+06
180,3125.52,458061
422,7263.05,1.07972e+06
182,3060.71,449881
285,4863.12,710124
190,3279.15,467860
229,3932.75,613553
205,3491.55,557387
372,6414.18,949950
304,5071.6,771208
176,3046.18,450453
146,2637.93,377237
254,5142.93,632393
166,3606.79,421653
260,4598.92,645511
146,2564.4,377768
470,8049.38,1.17443e+06
166,2886.77,413916
449,7665.35,1.16185e+06
147,2529.38,394558
182,3159.23,471629
170,2925.51,448436
674,11499.2,1.68298e+06
242,4286.27,591772
108,1826.74,274377
246,4213.36,635763
250,4325.82,610535
236,4132.07,586403
199,3375.63,508206
288,4827.12,709264
471,8025.42,1.14214e+06
166,2790.9,420444
276,4670.47,652456
241,4288.41,615951
140,2399.12,368777
216,3750.53,555597
370,6479.04,948264
220,3798.5,546052
190,3384.73,509007
223,3798.94,580794
547,9322.06,1.2853e+06
237,4006.4,610295
226,3873.18,582566
162,2818.12,406686
178,3085.31,450572
324,5667.18,809187
122,2105.84,309528
262,4506.54,684963
239,4211.51,644214
235,3990.83,618972
146,2578.12,377916
180,3100.36,458731
210,3663.97,527031
212,3669.29,522888
192,3269.64,481350
148,2613.49,372501
98,1743,260284
162,2826.88,417299
210,3664.66,540993
292,5002.79,757523
206,3527.87,507524
296,5182.34,695152
147,2554.84,383802
252,4428.35,626138
298,5204.41,779257
226,3906.68,549543
146,2536.55,366975
235,4013.97,619898
197,3387.93,540788
150,2611.65,377702
227,3902.19,602048
196,3391.2,510080
156,2709.62,397097
174,2973.85,451573
198,3373.04,514089
155,2630.67,406538
148,2676.04,379398
344,6059.71,855812
242,4213.99,590229
148,2566.03,375683
194,3341.22,496046
106,1875.52,280904
160,2854.66,400247
348,5959.95,913589
252,4647.33,645114
830,17240.4,2.0216e+06
263,5329.42,663187
232,4841.31,563150
131,2668.48,349214
152,3168.09,413936
134,2788.46,338642
140,2889.03,361620
246,5026.02,626823
160,3295.57,407988
172,3591.28,420967
144,3005.82,374348
303,6228.97,750117
230,4867.32,552598
218,4255.06,529780
160,3295.64,407657
124,2528.03,309095
98,2078.71,259425
331,6542.8,788684
340,6878.24,853165
167,3426.66,413786
158,3305.39,401425
279,5575.61,694420
180,3724.58,459029
289,5917.82,702855
116,2428.91,303239
211,4374.18,565495
993,19475.1,2.31045e+06
242,4906.17,603456
162,3424.84,433822
310,6422.82,783089
132,2707.77,330335
230,4764.11,580594
276,5668.42,676306
171,3495.18,451789
276,5706.83,705902
353,7119.18,920214
182,3796.16,451377
242,5060.5,629590
164,3480.7,438007
